Rank,Land Area (sq mi),City,State,Population
153,110.90,Sierra Vista Southeast, AZ,"14,501"
154,110.62,Fort Wayne, IN,"255,784"
155,109.67,Casa Grande, AZ,"50,316"
156,108.98,Charleston, SC,"125,458"
157,107.73,Henderson, NV,"266,245"
158,107.37,Durham, NC,"240,107"
159,106.79,Abilene, TX,"120,776"
160,106.04,Circle, AK,103
161,105.96,Palmdale, CA,"155,810"
162,105.91,Babbitt, MN,"1,456"
163,105.75,Surprise, AZ,"121,648"
164,105.67,Cape Coral, FL,"161,804"
165,105.59,Lucerne Valley, CA,"5,767"
166,105.37,Shreveport, LA,"200,692"
167,103.35,Rio Rancho, NM,"90,627"
168,103.15,Savannah, GA,"141,298"
169,103.01,Reno, NV,"231,103"
170,102.40,Orlando, FL,"250,224"
171,101.35,North Las Vegas, NV,"223,336"
172,100.65,Black Forest, CO,"12,959"
173,100.49,Yakutat, AK,587
174,100.25,Tallahassee, FL,"185,395"
175,100.09,Beluga, AK,5
176,99.81,Crooked Creek, AK,104
177,99.58,North Port, FL,"58,584"
178,99.48,Amarillo, TX,"194,930"
179,99.32,Saint Marys, PA,"12,940"
180,98.52,Knoxville, TN,"181,759"
181,97.92,Sacramento, CA,"476,075"
182,97.60,Clarksville, TN,"140,563"
183,96.89,Nightmute, AK,281
184,96.18,Fort Leonard Wood, MO,"17,061"
185,96.12,Milwaukee, WI,"598,078"
186,95.88,Arlington, TX,"375,305"
187,95.59,Sleetmute, AK,100
188,94.28,Lancaster, CA,"159,092"
189,94.12,Palm Springs, CA,"45,827"
190,93.99,South Naknek, AK,60
191,92.84,Steele Creek, AK,"6,180"
192,92.56,Lehigh Acres, FL,"106,747"
193,91.77,Anchor Point, AK,"2,189"
194,89.87,Palm Coast, FL,"77,779"
195,89.40,Dothan, AL,"67,574"
196,89.11,Lincoln, NE,"265,811"
197,88.96,Waco, TX,"127,796"
198,88.91,Laredo, TX,"245,048"
199,88.27,Cannon Ball, ND,949
200,88.20,Happy Valley, AK,585
201,88.04,Laughlin, NV,"7,567"
202,87.95,Denton, TX,"122,742"
203,86.00,Goldstream, AK,"3,910"
204,85.25,Oak Ridge, TN,"29,301"
205,84.70,Edmond, OK,"85,084"
206,84.45,Chitina, AK,78
207,83.94,Seattle, WA,"637,850"
208,83.84,Chisana, AK,0
209,83.10,Knik-Fairview, AK,"15,797"
210,82.80,Beaumont, TX,"117,543"
211,81.84,Knik River, AK,690
212,81.78,Durham, CA,"5,743"
213,81.72,Springfield, MO,"162,333"
214,81.55,Naknek, AK,600
215,81.14,Riverside, CA,"313,041"
216,81.03,Lawton, OK,"97,788"
217,80.94,Baltimore, MD,"622,271"
218,80.87,Des Moines, IA,"206,702"
219,80.69,Toledo, OH,"283,932"
220,79.87,Jonesboro, AR,"70,217"
221,79.37,Tanacross, AK,176
222,79.36,Boise City, ID,"211,655"
223,79.28,Ellsworth, ME,"7,804"
224,79.26,Caribou, ME,"8,025"
225,79.24,El Reno, OK,"17,515"
226,78.74,Golden Valley, AZ,"8,162"
227,78.02,Wiseman, AK,13
228,77.94,Cincinnati, OH,"297,117"
229,77.76,Sterling, AK,"5,748"
230,77.70,Cleveland, OH,"392,114"
231,77.57,Independence, MO,"117,160"
232,77.46,Fremont, CA,"221,654"
233,76.95,Baton Rouge, LA,"229,353"
234,76.90,Port Arthur, TX,"54,685"
235,76.79,Madison, WI,"239,848"
236,76.49,Las Cruces, NM,"100,360"
237,76.49,Lime Village, AK,22
238,76.29,Mosquito Lake, AK,119
239,75.76,Presque Isle, ME,"9,494"
240,75.62,Wheatland, MT,478
241,75.22,Meadow Lakes, AK,"7,139"
242,74.84,Overland Park, KS,"178,945"
243,74.79,Rome, NY,"33,161"
244,74.01,Slater, WY,95
245,73.97,Salcha, AK,957
246,73.68,Enid, OK,"50,232"
247,73.19,Apple Valley, CA,"70,561"
248,73.19,North Charleston, SC,"102,143"
249,73.18,Victorville, CA,"119,603"
250,73.10,Hesperia, CA,"91,757"
251,72.96,Sioux Falls, SD,"160,964"
252,72.14,Wichita Falls, TX,"104,771"
253,72.10,Grand Prairie, TX,"181,135"
254,72.10,Hayfork, CA,"2,372"
255,72.07,Midland, TX,"119,409"
256,72.00,Fishhook, AK,"5,015"
257,71.88,Poinciana, FL,"56,678"
258,71.60,Silver Springs, NV,"5,605"
259,71.58,Plano, TX,"271,166"
260,70.87,Picture Rocks, AZ,"8,775"
261,70.80,Cedar Rapids, IA,"128,009"
262,70.43,Pueblo West, CO,"30,655"
263,70.40,Saint George, UT,"75,469"
264,69.84,Cohoe, AK,"1,485"
265,69.42,Nikiski, AK,"4,536"
266,69.01,Temple, TX,"68,877"
267,68.87,Kalifornsky, AK,"7,806"
268,68.86,Red Dog Mine, AK,139
269,68.71,Newport News, VA,"181,362"
270,68.52,Mountain Iron, MN,"2,874"
271,68.42,Vineland, NJ,"60,985"
272,67.96,Gilbert, AZ,"223,131"
273,67.86,Tyonek, AK,226
274,67.83,Tetlin, AK,123
275,67.79,Duluth, MN,"86,239"
276,67.04,Chickaloon, AK,234
277,67.02,Irving, TX,"224,859"
278,66.76,Healy Lake, AK,13
279,66.42,Wildwood, MO,"35,701"
