Rank,Land Area (sq mi),City,State,Population
7448,4.80,Vina, AL,358
7449,4.80,Pisgah, AL,802
7450,4.80,Laureles, TX,"4,582"
7451,4.80,Islip, NY,"18,229"
7452,4.80,Nelson, NV,94
7453,4.80,South Milwaukee, WI,"21,210"
7454,4.80,Lincoln, PA,"1,000"
7455,4.80,Far Hills, NJ,"1,101"
7456,4.80,West Springfield, VA,"22,956"
7457,4.80,Charleston, MO,"5,905"
7458,4.80,Morris, MN,"5,324"
7459,4.80,Dickson City, PA,"6,049"
7460,4.79,Birmingham, MI,"20,382"
7461,4.79,Carson, WA,"2,262"
7462,4.79,East Dennis, MA,"2,928"
7463,4.79,Logan, OH,"7,314"
7464,4.79,Naukati Bay, AK,35
7465,4.79,New Berlin, TX,589
7466,4.79,Bessemer City, NC,"5,410"
7467,4.79,Weed, CA,"2,937"
7468,4.79,Ashland, MO,"3,796"
7469,4.79,Hawthorne, FL,"1,780"
7470,4.79,Round Valley, AZ,613
7471,4.79,Hooksett, NH,"4,112"
7472,4.78,Elwood, NY,"10,833"
7473,4.78,Wonder Lake, IL,"3,769"
7474,4.78,Flat Lick, KY,"1,036"
7475,4.78,Dalhart, TX,"8,150"
7476,4.78,Calico Rock, AR,"1,422"
7477,4.78,Bernalillo, NM,"8,400"
7478,4.78,Silver Springs Shores, FL,"6,551"
7479,4.78,Three Creeks Village, MO,3
7480,4.78,Fort Gaines, GA,"1,126"
7481,4.78,Attica, MI,782
7482,4.77,Palos Verdes Estates, CA,"13,568"
7483,4.77,East Oakdale, CA,"2,901"
7484,4.77,San Mateo, NM,190
7485,4.77,New Ellenton, SC,"2,712"
7486,4.77,Burnsville, MS,"1,152"
7487,4.77,Koyuk, AK,265
7488,4.77,Franklin Park, IL,"18,389"
7489,4.77,Montevideo, MN,"5,283"
7490,4.76,Ione, CA,"7,318"
7491,4.76,Cudahy, WI,"18,321"
7492,4.76,Burley, WA,"1,629"
7493,4.76,Castle Hayne, NC,967
7494,4.76,East Hampton, NY,"1,159"
7495,4.76,Study Butte, TX,300
7496,4.76,Mill Valley, CA,"14,178"
7497,4.76,Chauvin, LA,"3,220"
7498,4.76,Belknap, MT,221
7499,4.76,Eucalyptus Hills, CA,"5,352"
7500,4.76,Vernon, FL,"1,402"
7501,4.76,Speedway, IN,"12,012"
7502,4.76,Sierra Blanca, TX,547
7503,4.76,Colonial Park, PA,"13,124"
7504,4.76,Gasquet, CA,500
7505,4.76,Lafayette, TN,"4,731"
7506,4.76,Montgomeryville, PA,"12,977"
7507,4.75,Luray, VA,"4,864"
7508,4.75,Franklin Farm, VA,"19,956"
7509,4.75,Howell, MI,"9,543"
7510,4.75,Ponchatoula, LA,"6,751"
7511,4.75,Tye, TX,"1,167"
7512,4.75,Holcomb, MS,427
7513,4.75,Live Oak, TX,"14,213"
7514,4.75,Jemez Springs, NM,232
7515,4.75,Lake Madison, SD,776
7516,4.75,Ringgold, GA,"3,647"
7517,4.75,San Leon, TX,"5,255"
7518,4.75,Elberton, GA,"4,494"
7519,4.75,Tabernash, CO,290
7520,4.75,Massanetta Springs, VA,"4,668"
7521,4.75,Decherd, TN,"2,424"
7522,4.75,Orick, CA,281
7523,4.74,Peterborough, NH,"2,993"
7524,4.74,Cold Spring, KY,"6,093"
7525,4.74,Lovington, NM,"11,364"
7526,4.74,Pylesville, MD,772
7527,4.74,Grass Valley, CA,"12,861"
7528,4.74,Evendale, OH,"2,768"
7529,4.74,Glastonbury Center, CT,"7,418"
7530,4.74,Bristol, NH,"1,562"
7531,4.74,Mosses, AL,"1,069"
7532,4.74,Blyn, WA,35
7533,4.74,Beacon, NY,"14,437"
7534,4.74,Rocky River, OH,"20,145"
7535,4.74,Star City, AR,"2,470"
7536,4.74,Macclenny, FL,"6,387"
7537,4.74,Vinton, IA,"5,211"
7538,4.74,Robinson, IL,"7,264"
7539,4.74,Aromas, CA,"2,677"
7540,4.73,Eagletown, OK,664
7541,4.73,Hazlehurst, GA,"4,225"
7542,4.73,Washington, IN,"11,758"
7543,4.73,Medley, FL,940
7544,4.73,Dexter, ME,"1,904"
7545,4.73,Paramount, CA,"54,813"
7546,4.73,Flora, IL,"5,045"
7547,4.73,Llano, TX,"3,300"
7548,4.73,Hailesboro, NY,590
7549,4.73,Montgomery, TX,639
7550,4.73,Center Point, LA,293
7551,4.72,Ashburn, GA,"3,935"
7552,4.72,Hudson, CO,"2,475"
7553,4.72,Wilson-Conococheague, MD,"2,117"
7554,4.72,Cohutta, GA,671
7555,4.72,Pineridge, SC,"2,142"
7556,4.72,Wood Dale, IL,"13,882"
7557,4.72,Belding, MI,"5,764"
7558,4.72,Lincolnia, VA,"22,917"
7559,4.72,San Augustine, TX,"2,409"
7560,4.72,San Carlos Park, FL,"17,646"
7561,4.72,Lamar, AR,"1,524"
7562,4.72,Ecru, MS,"1,050"
7563,4.71,Mastic Beach, NY,"14,880"
7564,4.71,Alliance, NE,"8,501"
7565,4.71,Moncure, NC,455
7566,4.71,Homeland Park, SC,"6,574"
7567,4.71,Grafton, OH,"6,145"
7568,4.71,Bon Aqua Junction, TN,863
7569,4.71,Keokee, VA,313
7570,4.71,Tierra Grande, TX,139
7571,4.71,Green Knoll, NJ,"5,954"
7572,4.71,Villa Park, IL,"22,073"
7573,4.71,West Portsmouth, OH,"2,794"
7574,4.70,West Sand Lake, NY,"2,791"
7575,4.70,Whitehall, NY,"2,791"
7576,4.70,Perth Amboy, NJ,"51,727"
7577,4.70,Larksville, PA,"4,462"
7578,4.70,Mccordsville, IN,"5,037"
7579,4.70,Samak, UT,164
7580,4.70,Oak Park, IL,"51,988"
7581,4.70,New Summerfield, TX,"1,686"
7582,4.70,Sussex, VA,127
7583,4.70,Keo, AR,217
7584,4.70,Ottawa, OH,"4,426"
7585,4.70,Diboll, TX,"5,377"
7586,4.70,Lakehead, CA,493
7587,4.70,Clewiston, FL,"7,184"
7588,4.69,Rutledge, TN,"1,393"
7589,4.69,Broomtown, AL,104
7590,4.69,Braddock Heights, MD,"2,451"
7591,4.69,Scott City, MO,"4,551"
7592,4.69,Duran, NM,2
7593,4.69,Rochester, IN,"6,151"
7594,4.69,Herron, MT,53
7595,4.69,Nebraska City, NE,"7,279"
7596,4.69,Sandwich, IL,"7,513"
7597,4.69,Alpine, TX,"6,026"
7598,4.69,Waterville, OH,"5,499"
7599,4.69,Toomsuba, MS,"1,020"
7600,4.69,Blue Hill, ME,"1,102"
7601,4.69,Highland, NY,"5,315"
7602,4.69,Lexington Hills, CA,"2,367"
7603,4.68,Bickleton, WA,55
7604,4.68,Ozona, TX,"3,295"
7605,4.68,West Glens Falls, NY,"7,359"
7606,4.68,Gulf Breeze, FL,"5,984"
7607,4.68,Redvale, CO,268
7608,4.68,Melrose, MA,"27,509"
7609,4.68,Arial, SC,"2,739"
7610,4.68,Fairview Park, OH,"16,625"
7611,4.68,Franklin, PA,"6,448"
7612,4.68,Manchester, IA,"5,126"
7613,4.68,Abilene, KS,"6,729"
7614,4.68,Indian Hills, CO,"1,181"
7615,4.68,Granville, OH,"5,689"
7616,4.67,Duncan, SC,"3,214"
7617,4.67,South Blooming Grove, NY,"3,212"
7618,4.67,Exeter, PA,"5,633"
7619,4.67,Dry Run, OH,"7,446"
7620,4.67,Peninsula, OH,595
7621,4.67,Vail, CO,"5,280"
7622,4.67,Ukiah, CA,"15,956"
7623,4.67,Poulsbo, WA,"9,436"
7624,4.67,Wanchese, NC,"1,753"
7625,4.67,Mill Creek, WA,"18,667"
7626,4.67,White Plains, GA,219
7627,4.67,Boling, TX,952
7628,4.67,Vine Grove, KY,"5,296"
7629,4.67,Stringtown, OK,320
7630,4.67,Le Claire, IA,"3,846"
7631,4.67,Winthrop Harbor, IL,"6,744"
7632,4.67,Mentone, AL,417
7633,4.67,Saint Croix Falls, WI,"2,059"
7634,4.67,South Weber, UT,"6,386"
7635,4.66,Lander, WY,"7,627"
7636,4.66,Staples, MN,"2,545"
7637,4.66,Hartford, IL,"1,529"
7638,4.66,Biron, WI,913
7639,4.66,Deatsville, AL,"1,098"
7640,4.66,Mango, FL,"12,062"
7641,4.66,Glen, MS,442
7642,4.66,Guntown, MS,"2,306"
7643,4.66,Greentree, NJ,"11,529"
7644,4.66,Greenwood, FL,823
7645,4.66,Halfway, MD,"10,609"
7646,4.66,Cocoa Beach, FL,"11,287"
7647,4.66,Smith Mills, MA,"4,741"
7648,4.66,Raymond, NH,"2,789"
7649,4.65,Fobes Hill, WA,"2,427"
7650,4.65,Homer, LA,"3,129"
7651,4.65,Belmont, MS,"2,247"
7652,4.65,Nashville, GA,"4,918"
7653,4.65,Portland, IN,"6,408"
7654,4.65,Belmont, MA,"25,173"
7655,4.65,South Euclid, OH,"22,052"
7656,4.65,Bridgeville, DE,"2,359"
7657,4.65,Villas, FL,"10,464"
7658,4.65,Stateburg, SC,"1,615"
7659,4.65,Elizabethtown, NC,"3,611"
7660,4.65,Altoona, WI,"6,940"
7661,4.65,Blossburg, PA,"1,595"
7662,4.65,Dupuyer, MT,79
7663,4.64,Delta, UT,"3,461"
7664,4.64,Airmont, NY,"8,770"
7665,4.64,Norcross, GA,"15,799"
7666,4.64,Croton On Hudson, NY,"8,168"
7667,4.64,Humboldt, IA,"4,663"
7668,4.64,Forest City, IA,"4,142"
7669,4.64,Country Club Estates, GA,"9,091"
7670,4.64,Clearview, WA,"3,656"
7671,4.64,New Territory, TX,"15,640"
7672,4.64,Wickliffe, OH,"12,671"
7673,4.64,North Barrington, IL,"3,105"
7674,4.64,Tamalpais-Homestead Valley, CA,"10,331"
7675,4.64,Welcome, SC,"5,972"
7676,4.64,Fiddletown, CA,86
7677,4.64,Buckhorn, NM,198
7678,4.63,Springdale, UT,409
7679,4.63,Ferris, TX,"2,469"
7680,4.63,Huntington, MA,785
7681,4.63,Meadow View, VA,955
7682,4.63,Daniels, WV,"2,023"
7683,4.63,Kearns, UT,"34,865"
7684,4.63,Spirit Lake, IA,"4,916"
7685,4.63,Freeport, NY,"43,168"
7686,4.63,Rosedale, WA,"4,542"
7687,4.63,Greenville, KY,"4,442"
7688,4.63,Mountain View, NC,"3,010"
7689,4.63,Knoxville, IA,"7,257"
7690,4.62,Torrington, WY,"6,732"
7691,4.62,Trinity, FL,"10,550"
7692,4.62,Winsted, CT,"7,876"
7693,4.62,Kinney, MN,170
7694,4.62,Town Line, NY,"2,491"
7695,4.62,China Spring, TX,"1,533"
7696,4.62,Belmont, CA,"26,503"
7697,4.62,Beaufort, NC,"4,119"
7698,4.62,Collins, OH,539
7699,4.62,Paulina, LA,"1,251"
7700,4.62,Statenville, GA,"1,281"
7701,4.62,Barrington, IL,"10,830"
7702,4.62,Flora Vista, NM,"2,115"
7703,4.61,Perryton, TX,"9,330"
7704,4.61,Vernal, UT,"9,882"
7705,4.61,Madison, SD,"6,830"
7706,4.61,Alta, UT,342
7707,4.61,King William, VA,89
7708,4.61,Lansing, NY,"3,614"
7709,4.61,Allouez, WI,"13,948"
7710,4.61,Neabsco, VA,"14,775"
7711,4.61,New Baltimore, MI,"12,144"
7712,4.61,Mount Wilson, NV,27
7713,4.61,Temperance, MI,"9,402"
7714,4.61,Haysville, KS,"11,235"
7715,4.60,Affton, MO,"21,358"
7716,4.60,Gallatin, TX,283
7717,4.60,Lonoke, AR,"4,255"
7718,4.60,Hinsdale, IL,"16,898"
7719,4.60,Tenafly, NJ,"14,672"
7720,4.60,Esparto, CA,"3,229"
7721,4.60,Calverton, MD,"18,488"
7722,4.60,Nikolai, AK,75
7723,4.60,Winterville, NC,"9,424"
7724,4.60,Soquel, CA,"10,275"
7725,4.60,Great River, NY,"1,636"
7726,4.60,Forest Acres, SC,"10,533"
7727,4.59,Scotts Valley, CA,"11,711"
7728,4.59,Canandaigua, NY,"10,532"
7729,4.59,Brice Prairie, WI,"1,762"
7730,4.59,Midtown, TN,"1,528"
7731,4.59,Santa Paula, CA,"29,990"
7732,4.59,Oakley, ID,937
7733,4.59,Lamont, CA,"16,359"
7734,4.59,North Lauderdale, FL,"42,354"
7735,4.59,Eagle, CO,"6,511"
7736,4.59,East Nicolaus, CA,251
7737,4.59,Saint Marys, OH,"8,193"
7738,4.59,Shady Hollow, TX,"4,940"
7739,4.59,Beaver Creek, MT,396
7740,4.59,Cochran, GA,"4,917"
7741,4.59,Beaverton, AL,235
7742,4.59,Geyserville, CA,879
7743,4.59,Max Meadows, VA,322
7744,4.59,Calverton, VA,175
7745,4.59,Hickam Housing, HI,"8,573"
7746,4.59,Moundville, AL,"2,417"
7747,4.59,Jal, NM,"2,130"
7748,4.58,Ardmore, TN,"1,182"
7749,4.58,Pittsfield, IL,"4,730"
7750,4.58,Jackson, MN,"3,300"
7751,4.58,Audubon, PA,"8,483"
7752,4.58,Dallas Center, IA,"1,757"
7753,4.58,New Roads, LA,"4,791"
7754,4.58,Belmar, NE,110
7755,4.58,Douglas, WY,"6,272"
7756,4.58,Marshall, AK,320
7757,4.58,Creedmoor, NC,"4,228"
7758,4.58,Marysville, KS,"3,301"
7759,4.58,Chardon, OH,"5,161"
7760,4.58,Braidwood, IL,"6,191"
7761,4.58,Canfield, OH,"7,443"
7762,4.58,Yoakum, TX,"5,540"
7763,4.58,Lincolnshire, IL,"7,270"
7764,4.58,La Grande, OR,"13,090"
7765,4.58,Nephi, UT,"5,442"
7766,4.58,Winterset, IA,"5,165"
7767,4.58,Jan-Phyl Village, FL,"5,161"
7768,4.58,Marshfield Hills, MA,"2,423"
7769,4.57,Vandercook Lake, MI,"4,690"
7770,4.57,Riverdale, UT,"8,532"
7771,4.57,Section, AL,880
7772,4.57,Flemington, GA,874
7773,4.57,Galena, KS,"3,022"
7774,4.57,Shively, KY,"15,450"
7775,4.57,Roeville, FL,470
7776,4.57,Mira Monte, CA,"7,306"
7777,4.57,Rhome, TX,"1,598"
7778,4.57,Crawfordville, FL,"3,790"
7779,4.57,West Blocton, AL,"1,566"
7780,4.57,Long Valley, NJ,"1,682"
7781,4.57,Bay Village, OH,"15,508"
7782,4.57,Lavonia, GA,"1,726"
7783,4.57,Essex Junction, VT,"9,552"
7784,4.56,Dolton, IL,"23,262"
7785,4.56,Trenton, OH,"12,091"
7786,4.56,East Liverpool, OH,"11,065"
7787,4.56,North Hartsville, SC,"3,211"
7788,4.56,West Little River, FL,"31,226"
7789,4.56,Aliceville, AL,"3,892"
7790,4.56,Southmont, NC,"1,316"
7791,4.56,Crystal City, MO,"4,841"
7792,4.56,Vann Crossroads, NC,324
7793,4.56,Worland, WY,"5,445"
7794,4.56,Montezuma, GA,"3,338"
7795,4.56,Santa Nella, CA,"1,164"
7796,4.56,Simsbury Center, CT,"5,843"
7797,4.56,Lillington, NC,"3,334"
7798,4.56,Saint James, NY,"13,274"
7799,4.56,Comanche, TX,"4,269"
7800,4.56,Shonto, AZ,455
7801,4.56,State College, PA,"42,066"
7802,4.56,Miner, MO,886
7803,4.56,Gas City, IN,"6,093"
7804,4.56,Wadley, GA,"2,013"
7805,4.55,Ogden, NC,"6,653"
7806,4.55,Heart Butte, MT,543
7807,4.55,Felton, CA,"3,957"
7808,4.55,Martha Lake, WA,"16,441"
7809,4.55,Kurten, TX,351
7810,4.55,Palmhurst, TX,"2,620"
7811,4.55,Newington, VA,"13,804"
7812,4.55,Mar-Mac, NC,"3,894"
7813,4.55,Alcolu, SC,596
7814,4.55,South Dennis, MA,"3,599"
7815,4.55,Loris, SC,"2,459"
7816,4.55,Darlington, SC,"6,232"
7817,4.55,Olcott, NY,"1,188"
7818,4.54,Pevely, MO,"5,566"
7819,4.54,Tangerine, FL,"2,275"
7820,4.54,Dasher, GA,982
7821,4.54,Pimaco Two, AZ,382
7822,4.54,Camp Lake, WI,"3,898"
7823,4.54,Dry Ridge, KY,"2,315"
7824,4.54,Mountain Village, AK,781
7825,4.54,Welcome, LA,"1,014"
7826,4.54,Kings Grant, NC,"8,504"
7827,4.54,Shorter, AL,497
7828,4.54,Mattapoisett Center, MA,"3,199"
7829,4.54,Lake Mystic, FL,394
7830,4.54,Hickory Creek, TX,"3,605"
7831,4.54,Summerhaven, AZ,141
7832,4.54,Twin Groves, AR,413
7833,4.54,Soda Springs, ID,"3,004"
7834,4.54,Johnson City, NY,"14,977"
7835,4.54,Comanche, OK,"1,655"
7836,4.54,Three Way, TN,"1,579"
7837,4.54,Sanostee, NM,361
7838,4.54,Iola, KS,"5,650"
7839,4.53,Bedford Heights, OH,"10,680"
7840,4.53,Tell City, IN,"7,251"
7841,4.53,Riverdale, GA,"15,496"
7842,4.53,New Port Richey, FL,"15,063"
7843,4.53,Saint Helens, OR,"13,017"
7844,4.53,Dennis, OK,79
7845,4.53,Paris, AR,"3,503"
7846,4.53,Green, OR,"7,954"
7847,4.53,Shorewood-Tower Hills-Harbert, MI,"1,188"
7848,4.52,Elliott, MS,"1,170"
7849,4.52,Massena, NY,"10,937"
7850,4.52,Ruffin, NC,384
7851,4.52,Rogers City, MI,"2,774"
7852,4.52,Lake Land'Or, VA,"3,676"
7853,4.52,Travelers Rest, SC,"4,768"
7854,4.52,Harlem, GA,"2,795"
7855,4.52,Coffeeville, AL,374
7856,4.52,Carlton, AL,173
7857,4.52,Hanover, NH,"8,411"
7858,4.52,Omena, MI,220
7859,4.52,Manchester Center, VT,"2,211"
7860,4.52,Granite Shoals, TX,"4,954"
7861,4.52,Copper Canyon, TX,"1,353"
7862,4.52,Piney, OK,244
7863,4.52,Greilickville, MI,"1,960"
7864,4.52,Fall Branch, TN,"1,396"
7865,4.52,Marlin, TX,"5,867"
7866,4.52,Darmstadt, IN,"1,468"
7867,4.52,Four Seasons, MO,"2,067"
7868,4.52,Ponce Inlet, FL,"3,053"
7869,4.51,Burt, MI,"1,095"
7870,4.51,Wildwood, TX,805
7871,4.51,Medford, WI,"4,349"
7872,4.51,Hampton, SC,"2,740"
7873,4.51,Yemassee, SC,819
7874,4.51,Antrim, NH,"1,384"
7875,4.50,Capulin, NM,286
7876,4.50,Wilsons Mills, NC,"2,823"
7877,4.50,Blauvelt, NY,"5,868"
7878,4.50,Dunkirk, NY,"12,386"
7879,4.50,Mulvane, KS,"6,000"
7880,4.50,Carrabelle, FL,"2,790"
7881,4.50,Azure, MT,176
7882,4.50,Lake City, MN,"5,093"
7883,4.50,Indian Springs, MT,139
7884,4.50,Avery, CA,674
7885,4.50,Laurel Bay, SC,"6,404"
7886,4.50,Lexington, NE,"10,189"
7887,4.50,Warrenton, VA,"9,774"
7888,4.50,Franklin, NJ,"4,994"
7889,4.50,Highwood, MT,211
7890,4.50,Jamesport, NY,"1,573"
7891,4.50,Sheldon, IA,"5,047"
7892,4.49,Blackstone, VA,"3,581"
7893,4.49,Bluewell, WV,"2,245"
7894,4.49,Jetmore, KS,857
7895,4.49,New Madrid, MO,"3,063"
7896,4.49,Oil City, PA,"10,383"
7897,4.49,Brooks, KY,"2,964"
7898,4.49,Branson West, MO,655
7899,4.49,Kibler, AR,"1,026"
7900,4.49,Martinsville, IN,"11,756"
7901,4.49,Mantee, MS,279
7902,4.49,Summit, AZ,"4,628"
7903,4.49,Algona, IA,"5,513"
7904,4.49,Prosser, WA,"5,793"
7905,4.49,Bradley Gardens, NJ,"13,902"
7906,4.48,Jenkins, MN,340
7907,4.48,Oak Grove CDP, TN,"4,732"
7908,4.48,Lake George, MN,199
7909,4.48,New Kent, VA,226
7910,4.48,Elmendorf, TX,"1,325"
7911,4.48,Norwood, NC,"2,727"
7912,4.48,Beach City, TX,"2,406"
7913,4.48,Wyomissing, PA,"10,467"
7914,4.48,Chisholm, MN,"5,001"
7915,4.48,Fairlawn, OH,"7,430"
7916,4.48,Abita Springs, LA,"2,512"
7917,4.48,Millers Creek, NC,"1,849"
7918,4.47,Fruitdale, AL,223
7919,4.47,Wyandanch, NY,"11,187"
7920,4.47,Tuleta, TX,310
7921,4.47,East Troy, WI,"4,300"
7922,4.47,Monticello, UT,"2,325"
7923,4.47,Goochland, VA,794
7924,4.47,Colchester, CT,"4,414"
7925,4.47,Franklin, AL,184
7926,4.47,Washburn, ME,"1,015"
7927,4.47,Minorca, LA,"1,866"
7928,4.47,La Mesilla, NM,"2,039"
7929,4.47,South Bradenton, FL,"22,814"
7930,4.47,Colstrip, MT,"2,243"
7931,4.46,Zebulon, GA,"1,522"
7932,4.46,Jackson, LA,"3,819"
7933,4.46,Salesville, AR,412
7934,4.46,Dowagiac, MI,"5,822"
7935,4.46,Ricardo, TX,884
7936,4.46,Buffalo, WY,"4,620"
7937,4.46,Peralta, NM,"3,636"
7938,4.46,Northfield, MA,"1,060"
7939,4.46,Swall Meadows, CA,259
7940,4.46,Thomas, WV,573
7941,4.46,Laurel Hill, VA,"8,015"
7942,4.46,Russell Springs, KY,"2,469"
7943,4.46,Ashland, ME,737
7944,4.46,Clover, SC,"5,321"
7945,4.46,La Porte, CA,12
7946,4.46,Healdsburg, CA,"11,466"
7947,4.46,Bald Knob, AR,"2,918"
7948,4.46,Cottleville, MO,"3,492"
7949,4.46,Catawba, WI,100
7950,4.46,Marlboro, NY,"3,373"
7951,4.46,Lebanon, VA,"3,399"
7952,4.45,Buena Vista, MI,"6,302"
7953,4.45,Boiling Springs, NC,"4,619"
7954,4.45,Mercer, WI,585
7955,4.45,Wesson, MS,"1,990"
7956,4.45,Gibson, AR,"3,433"
7957,4.45,Port Hueneme, CA,"21,949"
7958,4.45,Liberty, SC,"3,262"
7959,4.45,Hoytsville, UT,770
7960,4.45,Natalbany, LA,"2,900"
7961,4.45,Ravensdale, WA,980
7962,4.45,Stanfield, NC,"1,732"
7963,4.45,San Ildefonso Pueblo, NM,677
7964,4.45,Mill Creek East, WA,"16,754"
7965,4.45,Decatur, AR,"2,275"
7966,4.45,Newcastle, WA,"10,792"
7967,4.45,Potsdam, NY,"9,577"
7968,4.45,Tiburon, CA,"9,100"
7969,4.45,Houghton, MI,"7,897"
7970,4.44,Lindenhurst, IL,"14,412"
7971,4.44,Rosston, AR,348
7972,4.44,Bethany, MO,"3,186"
7973,4.44,Milton, KS,43
7974,4.44,La Madera, NM,151
7975,4.44,Wikieup, AZ,108
7976,4.44,Selah, WA,"7,328"
7977,4.44,Blandon, PA,"7,139"
7978,4.44,Holly Pond, AL,951
7979,4.44,Mimbres, NM,659
7980,4.44,Isle Of Palms, SC,"4,241"
7981,4.44,Jefferson, TX,"2,210"
7982,4.44,Valle Crucis, NC,360
7983,4.44,Richmond Heights, OH,"10,508"
7984,4.43,Camp Three, MT,210
7985,4.43,Goddard, KS,"4,583"
7986,4.43,Westport, OK,343
7987,4.43,North Pembroke, MA,"3,313"
7988,4.43,Litchfield, MN,"6,689"
7989,4.43,Millersburg, OR,"1,771"
7990,4.43,Lyndhurst, OH,"13,856"
7991,4.43,Winter Gardens, CA,"20,346"
7992,4.43,Hampton, IA,"4,402"
7993,4.43,Stokes, NC,357
7994,4.43,Benton Harbor, MI,"10,056"
7995,4.43,Tazewell, TN,"2,088"
7996,4.42,Monee, IL,"5,133"
7997,4.42,Lake Helen, FL,"2,632"
7998,4.42,Granby, MO,"2,328"
7999,4.42,Lockhart, FL,"14,489"
8000,4.42,Marion, SC,"6,833"
8001,4.42,Dupo, IL,"4,045"
8002,4.42,Crozet, VA,"6,511"
8003,4.42,Oregon, WI,"9,629"
8004,4.42,Carteret, NJ,"23,770"
8005,4.42,River Ridge, FL,"4,635"
8006,4.42,Umatilla, OR,"6,998"
8007,4.41,Soledad, CA,"26,008"
8008,4.41,Fountainhead-Orchard Hills, MD,"5,754"
8009,4.41,Sagaponack, NY,232
8010,4.41,Seneca Falls, NY,"6,533"
8011,4.41,Bridgeport, AL,"2,416"
8012,4.41,Ocean City, MD,"7,093"
8013,4.41,Sneads, FL,"2,061"
8014,4.41,Albion, MI,"8,416"
8015,4.41,Napakiak, AK,365
8016,4.41,Trinity, AL,"2,257"
8017,4.41,Enochville, NC,"2,664"
8018,4.41,Fyffe, AL,"1,376"
8019,4.41,Burlingame, CA,"29,618"
8020,4.41,Vienna, VA,"16,173"
8021,4.40,Saint Augustine Shores, FL,"7,824"
8022,4.40,Clintonville, WI,"4,516"
8023,4.40,Wet Camp Village, AZ,277
8024,4.40,Soperton, GA,"3,082"
8025,4.40,Willimantic, CT,"17,845"
8026,4.40,Estill Springs, TN,"2,120"
8027,4.40,Silver Gate, MT,21
8028,4.40,Brown Deer, WI,"12,067"
8029,4.40,Exeter, NH,"9,303"
8030,4.40,Ellisville, MO,"9,162"
8031,4.40,Riverview, MI,"12,347"
8032,4.40,Mauston, WI,"4,446"
8033,4.39,Beech Grove, IN,"14,301"
8034,4.39,Topsail Beach, NC,428
8035,4.39,North Kansas City, MO,"4,280"
8036,4.39,Mount Sterling, KY,"7,030"
8037,4.39,Harlan, IA,"5,047"
8038,4.39,Thomson, GA,"6,682"
8039,4.39,Waupun, WI,"11,336"
8040,4.39,Versailles, KY,"8,908"
8041,4.39,Marblehead, MA,"20,163"
8042,4.39,Geneseo, IL,"6,500"
8043,4.39,Mount Vernon, NY,"67,962"
8044,4.39,Ojai, CA,"7,558"
8045,4.38,Bylas, AZ,"1,595"
8046,4.38,Kaneohe Station, HI,"11,342"
8047,4.38,Beggs, OK,"1,127"
8048,4.38,La Crosse, FL,248
8049,4.38,Oberlin, LA,"2,069"
8050,4.38,Cave City, KY,"2,214"
8051,4.38,Addison, TX,"14,594"
8052,4.38,Richboro, PA,"6,382"
8053,4.38,Kildeer, IL,"3,917"
8054,4.38,Gang Mills, NY,"4,399"
8055,4.38,Crystal, NM,359
8056,4.38,Hazlehurst, MS,"3,949"
8057,4.38,Chesterland, OH,"2,257"
8058,4.38,Meadville, PA,"13,307"
8059,4.37,Quinhagak, AK,616
8060,4.37,Greece, NY,"14,482"
8061,4.37,Mccord, OK,"1,594"
8062,4.37,Blue Jay, OH,"1,003"
8063,4.37,Lemay, MO,"16,239"
8064,4.37,Albertville, MN,"7,159"
8065,4.37,Franklinton, LA,"3,809"
8066,4.37,Volta, CA,257
8067,4.37,Pojoaque, NM,"2,257"
8068,4.37,Pageland, SC,"2,739"
8069,4.37,Peekskill, NY,"23,875"
8070,4.37,Ebony, VA,89
8071,4.37,Roslyn, WA,947
8072,4.36,Rye, AR,112
8073,4.36,Big Rapids, MI,"10,543"
8074,4.36,Blackshear, GA,"3,485"
8075,4.36,Tishomingo, OK,"3,063"
8076,4.36,Goodland, KS,"4,879"
8077,4.36,Conesus Lake, NY,"2,415"
8078,4.36,Oneonta, NY,"13,906"
8079,4.36,Curlew Lake, WA,622
8080,4.36,Pleasant Hills, MD,"3,434"
8081,4.36,Sand Rock, AL,539
8082,4.36,Pine Island Center, FL,"2,002"
8083,4.36,Kirkwood, CA,98
8084,4.36,East Glacier Park Village, MT,517
8085,4.36,Beaver, WV,"1,299"
8086,4.36,Innsbrook, VA,"7,749"
8087,4.36,Buffalo, TX,"2,198"
8088,4.36,Skyland, NV,245
8089,4.36,Callimont, PA,47
8090,4.36,Overland, MO,"16,043"
8091,4.35,Waimanalo, HI,"5,807"
8092,4.35,Cannon Falls, MN,"4,072"
8093,4.35,Grayhawk, MO,748
8094,4.35,Prairie Creek, AR,"2,163"
8095,4.35,Ketchikan, AK,"8,173"
8096,4.35,Paradise CDP, CA,235
8097,4.35,Mackinac Island, MI,600
8098,4.35,Woodville, CA,"1,961"
8099,4.35,Cragsmoor, NY,658
8100,4.35,Vineyard, UT,421
8101,4.35,Searsport, ME,964
8102,4.35,Walkersville, MD,"5,966"
8103,4.35,Bloomsburg, PA,"14,699"
8104,4.35,Rosemont, CA,"22,824"
8105,4.35,West Simsbury, CT,"2,446"
8106,4.35,Smith Island, MD,176
8107,4.35,Melrose, OR,749
8108,4.35,Marble, MN,602
8109,4.35,Grandview, OH,"1,501"
8110,4.35,Flute Springs, OK,51
