Rank,Water Area (sq mi),City,State,Population
1,"1,941.05",Sitka, AK,"8,957"
2,920.57,Wrangell, AK,"2,383"
3,551.96,Juneau, AK,"32,200"
4,328.98,Corpus Christi, TX,"312,680"
5,256.32,Anchorage, AK,"298,178"
6,255.15,Saint Paul, AK,612
7,248.32,Virginia Beach, VA,"445,623"
8,185.02,San Francisco, CA,"829,072"
9,181.83,Togiak, AK,765
10,180.79,New Orleans, LA,"368,471"
11,178.53,Prudhoe Bay, AK,"2,570"
12,168.12,Galveston, TX,"48,513"
13,165.84,New York, NY,"8,354,889"
14,159.60,Dauphin Island, AL,"1,291"
15,147.55,Saint George, AK,33
16,127.63,Jacksonville, FL,"837,533"
17,121.74,Texas City, TX,"45,802"
18,114.35,Pilot Point, AK,47
19,101.04,Egegik, AK,74
20,100.88,Unalaska, AK,"4,536"
21,84.89,Hampton, VA,"136,904"
22,75.86,Saint Petersburg, FL,"248,429"
23,67.14,Port Arthur, TX,"54,685"
24,63.11,Poquoson, VA,"12,103"
25,62.61,Hooper, UT,"7,720"
26,61.83,Tampa, FL,"348,934"
27,61.07,Islandia, FL,18
28,59.64,Valdez, AK,"4,002"
29,58.86,Nelson Lagoon, AK,39
30,58.71,Seattle, WA,"637,850"
31,50.76,Newport News, VA,"181,362"
32,48.13,Portland, ME,"66,317"
33,47.21,San Diego, CA,"1,341,510"
34,45.33,Dallas, TX,"1,240,985"
35,43.88,Vashon, WA,"10,447"
36,43.79,Hutchinson Island South, FL,"4,877"
37,42.23,Norfolk, VA,"244,745"
38,41.36,Boston, MA,"639,594"
39,41.22,Toksook Bay, AK,650
40,41.14,False Pass, AK,31
41,40.67,Mobile, AL,"194,942"
42,39.80,Aransas Pass, TX,"8,287"
43,37.41,Bainbridge Island, WA,"23,206"
44,34.18,Adak, AK,114
45,34.02,Los Angeles, CA,"3,862,210"
46,31.96,Ocean City, MD,"7,093"
47,31.64,Hitchcock, TX,"7,206"
48,29.67,Merritt Island, FL,"35,063"
49,29.17,Newport Beach, CA,"86,594"
50,29.04,Fire Island, NY,319
51,28.99,Biddeford, ME,"21,303"
52,28.92,Suffolk, VA,"85,477"
53,28.22,Chincoteague, VA,"2,933"
54,27.91,Houston, TX,"2,167,988"
55,27.77,Hilton Head Island, SC,"38,497"
56,27.38,Atka, AK,66
57,25.62,Lake Louise, AK,42
58,25.09,Wainwright, AK,482
59,24.73,Coronado, CA,"24,333"
60,24.40,Coral Gables, FL,"49,319"
61,24.06,Hull, MA,"10,324"
62,23.06,Suamico, WI,"11,621"
63,22.99,Dana Point, CA,"33,861"
64,22.96,Lake Minchumina, AK,19
65,22.50,Santa Barbara, CA,"89,669"
66,22.41,Richmond, CA,"106,469"
67,22.22,Oakland, CA,"402,339"
68,21.72,Nashville-Davidson Metropolitan Government, TN,"624,261"
69,21.50,Sand Point, AK,"1,371"
70,21.02,South San Francisco, CA,"65,537"
71,20.54,Midway CDP, FL,"17,640"
72,20.19,Miami, FL,"416,432"
73,19.64,Duluth, MN,"86,239"
74,19.45,Gambell, AK,702
75,19.05,Ugashik, AK,19
76,18.88,Gulf Breeze, FL,"5,984"
77,18.87,Vallejo, CA,"118,078"
78,18.69,Superior, WI,"26,932"
79,18.51,Charleston, SC,"125,458"
80,18.46,Cold Bay, AK,44
81,18.43,Hayward, CA,"149,596"
82,18.16,Pensacola, FL,"52,505"
83,18.08,Village Of Grosse Pointe Shores, MI,"3,031"
84,17.97,Dunedin, FL,"35,538"
85,17.64,Saint Pete Beach, FL,"9,408"
86,17.42,Hansville, WA,"3,573"
87,17.24,Madison, WI,"239,848"
88,17.12,Sanibel, FL,"6,761"
89,17.03,Guntersville, AL,"8,316"
90,16.98,Brisbane, CA,"4,421"
91,16.97,Aleknagik, AK,231
92,16.96,Louisville/Jefferson County Metro Government, KY,"605,762"
93,16.88,Harding-Birch Lakes, AK,155
94,16.54,Barnstable Town, MA,"44,750"
95,16.08,Foster City, CA,"31,809"
96,15.95,Seabrook, TX,"12,437"
97,15.72,Keansburg, NJ,"10,011"
98,15.72,Lake Koshkonong, WI,"1,235"
99,15.69,Cordova, AK,"2,637"
100,15.46,Shreveport, LA,"200,692"
101,15.31,Gloucester, MA,"29,237"
102,15.20,Redwood City, CA,"79,736"
103,15.20,Marblehead, MA,"20,163"
104,15.10,Old Orchard Beach, ME,"8,679"
105,15.03,Everett, WA,"104,708"
106,15.03,Chitina, AK,78
107,14.95,Cape Coral, FL,"161,804"
108,14.76,Warwick, RI,"82,065"
109,14.64,Ellsworth, ME,"7,804"
110,14.63,Jacksonville Beach, FL,"21,822"
111,14.49,Mackinac Island, MI,600
112,14.43,Nahant, MA,"3,451"
113,14.41,Oklahoma City, OK,"600,729"
114,14.41,Stamford, CT,"125,401"
115,14.36,Angoon, AK,416
116,14.31,Paxson, AK,34
117,14.30,Saco, ME,"18,757"
118,14.28,Wylie, TX,"43,531"
119,14.17,Rye, NY,"15,892"
120,14.09,Eufaula, AL,"12,897"
121,13.95,Brownsville, TX,"179,834"
122,13.82,Hubbard Lake, MI,863
123,13.68,Clearwater, FL,"109,210"
124,13.50,Westport, CT,"27,055"
125,13.49,Norwalk, CT,"87,214"
126,13.44,Canyon Lake, TX,"21,469"
127,13.43,Yankeetown, FL,481
128,13.09,South Burlington, VT,"18,378"
129,13.08,Portsmouth, VA,"96,007"
130,12.98,Homer, AK,"5,229"
131,12.64,Big Lake, AK,"3,959"
132,12.62,Tacoma, WA,"201,794"
133,12.59,Glen Cove, NY,"27,161"
134,12.58,Carson City, NV,"54,634"
135,12.56,Lake Poinsett, SD,448
136,12.48,Buchanan Dam, TX,"1,071"
137,12.35,Alameda, CA,"75,763"
138,12.31,Oxnard, CA,"201,744"
139,12.30,Waco, TX,"127,796"
140,12.17,Sandusky, OH,"25,626"
141,12.11,Buffalo, NY,"259,959"
142,11.97,Hercules, CA,"24,596"
143,11.93,Bay Saint Louis, MS,"10,313"
144,11.87,Longboat Key, FL,"7,003"
145,11.66,Portland, OR,"602,568"
146,11.54,Port Alexander, AK,30
147,11.45,East Honolulu, HI,"48,926"
148,11.35,Susitna, AK,18
149,11.15,Cross Lake, MN,"2,022"
150,11.11,Baltimore, MD,"622,271"
151,10.82,Darien, CT,"21,190"
152,10.65,Norman, OK,"115,521"
153,10.65,Marco Island, FL,"16,921"
154,10.63,Reed Creek, GA,"3,297"
155,10.55,Chignik Lake, AK,58
156,10.53,Sarasota, FL,"52,986"
157,10.48,Green Bay, WI,"104,574"
158,10.48,Cocoa Beach, FL,"11,287"
159,10.44,San Buenaventura, CA,"108,449"
160,10.33,Quincy, MA,"92,920"
161,10.28,Ponce Inlet, FL,"3,053"
162,10.20,Leesburg, FL,"20,915"
163,10.15,Fremont, CA,"221,654"
164,10.12,Tuscaloosa, AL,"93,325"
165,10.07,Manalapan, FL,231
166,10.06,Chesapeake, VA,"228,168"
167,10.04,Alakanuk, AK,733
168,10.01,Salem, MA,"42,321"
169,9.88,Pismo Beach, CA,"7,789"
170,9.83,Knik River, AK,690
171,9.73,Edgemere, MD,"8,295"
172,9.63,The Lakes, MN,669
173,9.57,Grosse Pointe Farms, MI,"9,371"
174,9.57,Hobart Bay, AK,1
175,9.55,Longtown, OK,"3,100"
176,9.52,Edmonds, WA,"40,343"
177,9.48,Atlantic Beach, FL,"12,840"
178,9.33,Georgetown-Quitman County Unified Government, GA,"2,407"
179,9.32,Lake Wisconsin, WI,"4,369"
180,9.25,Captiva, FL,154
181,9.23,Palm Harbor, FL,"59,007"
182,9.17,Orono, MN,"7,690"
183,9.13,Pascagoula, MS,"22,239"
184,9.13,Sleetmute, AK,100
185,9.02,Fort Myers, FL,"66,167"
186,9.02,Lakeland, FL,"99,942"
187,8.99,Grand Prairie, TX,"181,135"
188,8.98,Nome, AK,"3,745"
189,8.95,Memphis, TN,"656,715"
190,8.74,Yalaha, FL,"1,244"
191,8.74,Tiburon, CA,"9,100"
192,8.71,Eastport, ME,"1,414"
193,8.63,Winter Haven, FL,"35,070"
194,8.61,Philadelphia, PA,"1,546,920"
195,8.59,Willow, AK,"1,944"
196,8.55,Frostproof, FL,"3,030"
197,8.53,Lake Norman Of Catawba, NC,"7,331"
198,8.51,North Eastham, MA,"1,917"
199,8.48,Cohasset, MN,"2,733"
200,8.47,Biloxi, MS,"44,527"
201,8.40,Cannon Ball, ND,949
202,8.40,Gulfport, MS,"69,913"
203,8.32,Pope-Vannoy Landing, AK,6
204,8.29,Orlando, FL,"250,224"
205,8.28,Healy Lake, AK,13
206,8.25,Pinole, CA,"18,754"
207,8.25,West Alton, MO,591
208,8.18,Brunswick, GA,"15,648"
209,8.18,Tarpon Springs, FL,"23,789"
210,8.06,Marquette, MI,"21,430"
211,8.05,Oregon, OH,"20,282"
212,8.04,Fort Worth, TX,"778,573"
213,7.99,Shorewood, MN,"7,438"
214,7.96,Trapper Creek, AK,448
215,7.91,Urban Honolulu, HI,"345,130"
216,7.82,Upper Grand Lagoon, FL,"14,917"
217,7.77,Bonita Springs, FL,"46,384"
218,7.75,Kodiak Station, AK,"1,397"
219,7.73,Lake Butler CDP, FL,"16,053"
220,7.63,Menlo Park, CA,"32,792"
221,7.61,Forked River, NJ,"5,199"
222,7.59,Watertown, SD,"21,795"
223,7.57,Crooked Creek, AK,104
224,7.56,Nisswa, MN,"2,386"
225,7.55,Miami Beach, FL,"90,669"
226,7.52,Mount Pleasant, SC,"72,379"
227,7.51,Whittier, AK,246
228,7.50,Beverly, MA,"40,370"
229,7.46,Big Delta, AK,590
230,7.44,Seward, AK,"2,646"
231,7.43,Haines, AK,"1,951"
232,7.40,Chattanooga, TN,"171,863"
233,7.36,Indian River, MI,"1,977"
234,7.33,Puako, HI,724
235,7.31,Gary, IN,"79,165"
236,7.30,Fleming Island, FL,"29,656"
237,7.29,Washington, DC,"633,736"
238,7.23,Berkeley, CA,"115,688"
239,7.17,Austin, TX,"864,218"
240,7.14,Mcgrath, AK,344
241,7.13,Finley Point, MT,744
242,7.11,Fall River, MA,"88,756"
243,7.07,Ormond Beach, FL,"38,502"
244,7.05,Holy Cross, AK,209
245,7.04,Ferry Pass, FL,"31,204"
246,7.00,Pass Christian, MS,"4,957"
247,6.97,Gloucester Point, VA,"9,784"
248,6.96,Port Isabel, TX,"5,033"
249,6.96,Stamford, TX,"3,033"
250,6.96,East Gull Lake, MN,947
251,6.92,Palm Beach, FL,"8,344"
252,6.91,Auburndale, FL,"13,979"
253,6.90,Milam, TX,"1,283"
254,6.90,New Post, WI,278
255,6.82,Kenai, AK,"7,348"
256,6.80,Decatur, AL,"55,641"
257,6.79,Mercer Island, WA,"23,636"
258,6.76,Scottsboro, AL,"14,779"
259,6.73,Fernley, NV,"19,184"
260,6.71,Gilgo, NY,264
261,6.69,Carpinteria, CA,"13,323"
262,6.69,Skwentna, AK,47
263,6.67,Mendeltna, AK,25
264,6.64,Saint Michael, AK,406
265,6.59,Red Wing, MN,"16,502"
266,6.59,Indianapolis, IN,"835,097"
267,6.58,Hoquiam, WA,"8,560"
268,6.52,Laconia, NH,"16,007"
269,6.51,Arctic Village, AK,118
270,6.50,Nikiski, AK,"4,536"
271,6.48,Chicago, IL,"2,712,608"
272,6.45,North Shore, VA,"2,881"
273,6.44,Kalaoa, HI,"10,257"
274,6.44,South Lake Tahoe, CA,"21,394"
275,6.41,Bartow, FL,"17,766"
276,6.41,Hackberry, LA,"1,284"
277,6.41,Auburn, ME,"22,960"
278,6.37,Galena, AK,539
279,6.36,Dames Quarter, MD,177
280,6.36,Folly Beach, SC,"2,679"
281,6.35,Nunam Iqua, AK,132
282,6.34,Winthrop Town, MA,"17,992"
283,6.33,St. Mary'S, AK,551
284,6.31,Lutak, AK,12
285,6.29,James City, NC,"5,635"
286,6.29,Atlantic City, NJ,"39,521"
287,6.29,Jersey City, NJ,"255,861"
288,6.28,Springfield, IL,"116,815"
289,6.28,Lake Sumner, NM,126
290,6.27,Navarre, FL,"32,586"
291,6.25,West Livingston, TX,"7,849"
292,6.17,Mason Neck, VA,"2,016"
293,6.16,Panama City, FL,"36,405"
294,6.11,Pocasset, MA,"2,932"
295,6.08,Emily, MN,837
296,6.07,Lewisville, TX,"99,039"
297,6.06,Sebring, FL,"10,356"
298,6.06,Bigfork, MT,"4,375"
299,6.04,Wilmington, DE,"71,263"
300,6.04,Croton On Hudson, NY,"8,168"
301,6.02,Kaltag, AK,200
302,6.01,Kake, AK,592
303,6.00,Alturas, FL,"3,948"
304,5.99,Old Harbor, AK,268
305,5.99,Punta Gorda, FL,"16,984"
306,5.98,Beaufort, SC,"12,702"
307,5.95,San Rafael, CA,"58,588"
308,5.94,Fort Pierce, FL,"42,744"
309,5.94,Columbus, OH,"811,943"
310,5.81,Burien, WA,"49,291"
311,5.78,Calais, ME,"3,063"
312,5.78,San Antonio, TX,"1,385,438"
313,5.71,Melbourne, FL,"77,216"
314,5.65,Knoxville, TN,"181,759"
315,5.64,Bolivar Peninsula, TX,"1,959"
316,5.58,Savannah, GA,"141,298"
317,5.56,Hendersonville, TN,"53,257"
318,5.52,Bethel, AK,"6,295"
319,5.51,Silver Springs, NV,"5,605"
320,5.49,Mascotte, FL,"5,197"
321,5.48,Lake Elsinore, CA,"56,243"
322,5.45,Lake Shore, MN,"1,130"
323,5.41,Abilene, TX,"120,776"
324,5.39,Sault Sainte Marie, MI,"14,121"
325,5.37,Whitefish, MT,"6,542"
326,5.37,Daytona Beach, FL,"61,913"
327,5.30,Mims, FL,"6,735"
328,5.30,Coos Bay, OR,"16,022"
329,5.29,Winona, MN,"27,526"
330,5.29,Greensboro, NC,"276,225"
331,5.28,Cudjoe Key, FL,"1,703"
332,5.28,Bayonne, NJ,"64,763"
333,5.19,Burlington, VT,"42,342"
334,5.17,Hampton Bays, NY,"12,712"
335,5.16,Mendocino, CA,826
336,5.15,Groveland, FL,"9,381"
337,5.14,Horizon West, FL,"17,222"
338,5.14,Port Aransas, TX,"3,677"
339,5.13,Huntington Beach, CA,"195,686"
340,5.11,Oak Hill, FL,"1,899"
341,5.07,Eureka, CA,"27,039"
342,5.05,Akutan, AK,879
343,5.05,Conesus Lake, NY,"2,415"
344,5.04,Shishmaref, AK,629
345,5.02,Morro Bay, CA,"10,383"
346,5.02,Scandia, MN,"3,976"
347,5.02,Asharoken, NY,552
348,5.01,Burnside, KY,873
349,4.99,Lino Lakes, MN,"20,671"
350,4.99,New London, CT,"27,536"
351,4.98,Forest Lake, MN,"18,933"
352,4.98,Detroit Lakes, MN,"8,834"
353,4.98,Howard, WI,"18,313"
354,4.94,Minnetrista, MN,"6,661"
355,4.93,Tenakee Springs, AK,117
356,4.90,Hilo, HI,"44,549"
357,4.89,Warrenton, OR,"5,089"
358,4.89,Titusville, FL,"44,032"
359,4.87,Duncan, OK,"23,364"
360,4.86,Fairmount, MD,313
361,4.83,De Tour Village, MI,214
362,4.83,Smith Island, MD,176
363,4.83,Gulf Shores, AL,"10,523"
364,4.81,Weymouth Town, MA,"54,815"
365,4.77,Cleveland, OH,"392,114"
366,4.73,Oak Ridge, TN,"29,301"
367,4.72,Coffee City, TX,352
368,4.72,Little Bitterroot Lake, MT,205
369,4.70,Spanish Fort, AL,"7,357"
370,4.69,Decatur, IL,"75,088"
371,4.67,Anaconda-Deer Lodge County, MT,"9,243"
372,4.67,Helena Valley Northeast, MT,"2,731"
373,4.64,Tanana, AK,248
374,4.64,Frenchtown-Rumbly, MD,29
375,4.62,Columbus, GA,"198,247"
376,4.60,Hibbing, MN,"16,330"
377,4.58,North Port, FL,"58,584"
378,4.53,Brent, OK,647
379,4.52,Neptune Beach, FL,"6,733"
380,4.50,Bellevue, WA,"132,268"
381,4.49,Chignik, AK,86
382,4.47,Egg Harbor, WI,278
383,4.46,Ocean City, NJ,"11,520"
384,4.46,Annapolis Neck, MD,"11,266"
385,4.43,Old Town, ME,"7,756"
386,4.42,Revere, MA,"53,258"
387,4.40,Shell Lake, WI,"1,402"
388,4.38,Muskego, WI,"24,387"
389,4.36,Lake Madison, SD,776
390,4.33,Rockport, TX,"9,776"
391,4.33,Belfast, ME,"6,664"
392,4.32,Peoria Heights, IL,"6,056"
393,4.32,Dundalk, MD,"62,186"
394,4.30,Wichita, KS,"385,518"
395,4.29,Lake Cherokee, TX,"2,711"
396,4.27,Runaway Bay, TX,"1,653"
397,4.26,Woodlawn Beach, FL,"1,746"
398,4.26,Kailua, HI,"12,727"
399,4.24,King Cove, AK,900
400,4.23,Tulsa, OK,"395,599"
401,4.22,Mackinaw City, MI,719
402,4.21,Westport, OK,343
403,4.20,Saint Paul, MN,"291,728"
404,4.20,Jacksonville, NC,"69,300"
405,4.20,Augusta-Richmond County Consolidated Government, GA,"196,551"
406,4.18,Port Huron, MI,"29,534"
407,4.18,Bodega Bay, CA,603
408,4.18,Lake Shore, MD,"19,045"
409,4.17,North Topsail Beach, NC,"1,145"
410,4.16,Normandy Park, WA,"6,491"
411,4.13,New Bedford, MA,"94,873"
412,4.13,South Beach, FL,"3,432"
413,4.12,Saint Louis, MO,"318,727"
414,4.12,Gustavus, AK,529
415,4.12,Naples, FL,"20,214"
416,4.12,Bath, ME,"8,396"
417,4.12,Detroit, MI,"695,437"
418,4.09,Lakehills, TX,"5,363"
419,4.09,Cooper Landing, AK,323
420,4.08,Grapeview, WA,999
421,4.08,Kansas City, MO,"465,005"
422,4.07,Little Elm, TX,"30,213"
423,4.03,Keystone, FL,"22,678"
424,4.03,Nightmute, AK,281
425,4.01,Halls Crossing, UT,6
426,4.00,Wildwood, FL,"6,782"
427,3.99,Somerset, MA,"18,262"
428,3.98,Brigantine, NJ,"9,420"
429,3.96,Fifty Lakes, MN,289
430,3.96,Port Lavaca, TX,"12,289"
431,3.95,Astoria, OR,"9,503"
432,3.93,Buffalo City, WI,"1,057"
433,3.91,Muskegon, MI,"37,822"
434,3.90,Lake Alfred, FL,"5,136"
435,3.89,Ocean Shores, WA,"5,609"
436,3.89,Lakeside, MT,"2,755"
437,3.88,Port Charlotte, FL,"55,206"
438,3.88,Bremerton, WA,"38,664"
439,3.87,Fort Smith, AR,"87,193"
440,3.86,Cottage Grove, MN,"35,169"
441,3.86,Hernando, FL,"9,109"
442,3.85,Navarre Beach, FL,"1,103"
443,3.83,Ilwaco, WA,"1,086"
444,3.82,Rogers City, MI,"2,774"
445,3.82,Mayo, MD,"8,560"
446,3.82,Port Angeles, WA,"19,125"
447,3.81,Fort Lauderdale, FL,"171,137"
448,3.78,Anacortes, WA,"15,965"
449,3.78,Munising, MI,"2,116"
450,3.78,Point Lay, AK,246
451,3.77,Coffman Cove, AK,131
452,3.76,Treasure Island, FL,"6,749"
453,3.75,San Mateo, CA,"100,114"
454,3.75,Four Corners, FL,"32,154"
455,3.74,Arlington, TX,"375,305"
456,3.74,North Fort Myers, FL,"39,143"
457,3.74,Fort Madison, IA,"10,929"
458,3.74,Bloomington, MN,"85,136"
459,3.73,Harrisburg, PA,"49,297"
460,3.72,Newport, RI,"24,599"
461,3.69,Natchitoches, LA,"18,460"
462,3.69,Swampscott, MA,"13,912"
463,3.69,Saint Michael, MN,"16,767"
464,3.68,Port Lions, AK,230
465,3.68,Groton, CT,"9,348"
466,3.68,Albany, CA,"19,020"
467,3.66,Ocean Springs, MS,"17,446"
468,3.65,Holtville, AL,"4,466"
469,3.65,Legend Lake, WI,"1,492"
470,3.65,Tierra Verde, FL,"3,227"
471,3.63,Iona, FL,"13,549"
472,3.63,Yakutat, AK,587
473,3.62,Escanaba, MI,"12,529"
474,3.62,Grapevine, TX,"48,671"
475,3.62,Kaunakakai, HI,"3,239"
476,3.62,Atqasuk, AK,219
477,3.61,Oswego, NY,"18,119"
478,3.58,Nanakuli, HI,"12,181"
479,3.58,Pasco, WA,"65,858"
480,3.57,Peoria, AZ,"160,231"
481,3.57,Kansas City, KS,"147,598"
482,3.56,Minto, AK,252
483,3.54,Sanford, FL,"55,296"
484,3.54,Anderson, AK,257
485,3.54,Deltona, FL,"85,765"
486,3.50,Minneapolis, MN,"394,424"
487,3.49,Omaha, NE,"435,454"
488,3.48,Union Hall, VA,"1,329"
489,3.47,Cohoe, AK,"1,485"
490,3.47,Belle Chasse, LA,"13,171"
491,3.46,North Charleston, SC,"102,143"
492,3.45,Provincetown, MA,"2,777"
493,3.44,San Jose, CA,"986,320"
494,3.43,Toledo, OH,"283,932"
495,3.41,Fort Myers Beach, FL,"6,539"
496,3.41,Spokane, LA,347
497,3.41,Mamaroneck, NY,"19,133"
498,3.40,Vancouver, WA,"165,554"
499,3.40,Sulphur Springs, TX,"15,673"
500,3.39,Richland, WA,"51,116"
501,3.39,Haiku-Pauwela, HI,"7,689"
502,3.39,Thompsons, TX,178
503,3.37,Ephraim, WI,218
504,3.37,Bridgeport, CT,"146,680"
505,3.36,Breezy Point, MN,"2,050"
506,3.35,Sharpes, FL,"3,059"
507,3.35,Medina, WA,"3,080"
508,3.35,Channelview, TX,"38,980"
509,3.34,Saint Augustine, FL,"13,440"
510,3.33,Hollywood, FL,"145,128"
511,3.33,Lewiston, MI,"1,329"
512,3.32,Langston, AL,270
513,3.31,East Providence, RI,"47,166"
514,3.30,Wailea, HI,"6,107"
515,3.30,Monterey, CA,"28,053"
516,3.29,Caledonia, WI,"24,689"
517,3.28,Ossining, NY,"25,232"
518,3.27,North Little Rock, AR,"64,731"
519,3.27,Atlantic Highlands, NJ,"4,357"
520,3.27,Michigan City, IN,"31,369"
521,3.26,Englewood, FL,"14,366"
522,3.24,Monroe, LA,"49,455"
523,3.24,Meadow Lakes, AK,"7,139"
524,3.23,Concord, NH,"42,514"
525,3.23,Milford, CT,"51,509"
526,3.21,Tallahassee, FL,"185,395"
527,3.20,New Smyrna Beach, FL,"22,993"
528,3.20,Racine, WI,"78,347"
529,3.19,Key Largo, FL,"10,781"
530,3.19,Modoc, SC,210
531,3.18,Ogdensburg, NY,"11,029"
532,3.17,East Bethel, MN,"11,614"
533,3.17,Halibut Cove, AK,21
534,3.16,Edmond, OK,"85,084"
535,3.14,Upper Nyack, NY,"2,020"
536,3.14,Palm Bay, FL,"104,342"
537,3.13,Bucksport, ME,"2,453"
538,3.11,Lake Murray Of Richland, SC,"5,475"
539,3.10,Mukilteo, WA,"20,635"
540,3.09,Preston, TX,"1,876"
541,3.09,Santa Cruz, CA,"62,045"
542,3.08,Stockton, CA,"297,223"
543,3.06,Port Royal, SC,"11,264"
544,3.06,Haverstraw, NY,"12,060"
545,3.06,Darien, GA,"3,465"
546,3.04,Gwynn, VA,695
547,3.03,Grant Valkaria, FL,"3,908"
548,3.03,Beaumont, TX,"117,543"
549,3.03,Eufaula, OK,"2,881"
550,3.01,Benson, UT,"1,120"
551,3.00,Finley, WA,"6,204"
552,3.00,Thorne Bay, AK,536
553,3.00,Moses Lake, WA,"21,141"
554,3.00,Port Sulphur, LA,"2,093"
555,2.99,Talkeetna, AK,508
556,2.97,Pittsburgh, PA,"306,045"
557,2.97,Melville, RI,"1,611"
558,2.96,Ringwood, NJ,"12,320"
559,2.96,Deltaville, VA,988
560,2.95,Sewall's Point, FL,"1,994"
561,2.95,Bowleys Quarters, MD,"6,419"
562,2.95,Atmautluak, AK,288
563,2.94,Vonore, TN,"1,585"
564,2.94,Portage, MI,"47,137"
565,2.93,Fort Gaines, GA,"1,126"
566,2.92,Gladstone, MI,"4,920"
567,2.92,Bayou Gauche, LA,"2,594"
568,2.92,Sleepy Hollow, NY,"10,002"
569,2.90,Augusta, ME,"18,898"
570,2.90,Tainter Lake, WI,"2,927"
571,2.89,Huron, OH,"7,095"
572,2.89,Prior Lake, MN,"23,956"
573,2.89,New Rochelle, NY,"78,476"
574,2.88,Fox River, AK,685
575,2.88,Cleburne, TX,"29,765"
576,2.87,Makaha, HI,"8,663"
577,2.87,Reno, NV,"231,103"
578,2.86,Sayreville, NJ,"43,962"
579,2.86,Manitou Beach-Devils Lake, MI,"2,129"
580,2.86,Clinton, IA,"26,611"
581,2.85,Severna Park, MD,"38,177"
582,2.84,Cortez, FL,"4,114"
583,2.84,Kaw City, OK,277
584,2.84,Columbus, MN,"3,940"
585,2.84,West Ocean City, MD,"4,586"
586,2.82,Lac Du Flambeau, WI,"1,835"
587,2.82,Alpine, NJ,"1,710"
588,2.82,Kailua CDP, HI,"39,353"
589,2.82,Debary, FL,"19,404"
590,2.80,Blaine, WA,"4,829"
591,2.80,Tatitlek, AK,69
592,2.79,Benicia, CA,"27,450"
593,2.79,Woodway, WA,"1,330"
594,2.79,Mountain Iron, MN,"2,874"
595,2.78,Lynn, MA,"91,289"
596,2.78,Dillingham, AK,"2,255"
597,2.78,Belle Isle, FL,"6,265"
598,2.78,Fort Washington, MD,"24,062"
599,2.76,Pell City, AL,"13,128"
600,2.75,Tarrytown, NY,"11,423"
601,2.75,West Palm Beach, FL,"102,283"
602,2.74,Lake Charles, LA,"73,503"
603,2.74,Lake Wylie, SC,"9,640"
604,2.74,Niagara Falls, NY,"49,679"
605,2.73,Arnold, MD,"23,131"
606,2.73,Eden Prairie, MN,"62,096"
607,2.73,Bradenton, FL,"50,777"
608,2.73,Manchester, WA,"5,081"
609,2.72,Carp Lake, MI,474
610,2.72,Columbia, SC,"131,331"
611,2.71,North Falmouth, MA,"2,957"
612,2.71,Clinton, WA,759
613,2.71,Ocean Pines, MD,"10,727"
614,2.71,Honaunau-Napoopoo, HI,"2,792"
615,2.71,North Lakeport, CA,"2,676"
616,2.70,Desert Aire, WA,"1,791"
617,2.70,Red Devil, AK,32
618,2.70,Charlotte Harbor, FL,"3,969"
619,2.69,East Lake, FL,"32,335"
620,2.69,East Quogue, NY,"4,355"
621,2.68,Hudson Bend, TX,"2,878"
622,2.66,Barrow, AK,"4,296"
623,2.66,Haverhill, MA,"61,769"
624,2.66,Saint Clair Shores, MI,"59,865"
625,2.66,Richmond, VA,"211,063"
626,2.65,Brady, TX,"5,515"
627,2.65,Pupukea, HI,"5,498"
628,2.64,Council Bluffs, IA,"62,261"
629,2.64,Plymouth, MN,"72,868"
630,2.64,Port Saint Joe, FL,"3,416"
631,2.64,Alma, WI,766
632,2.64,Portland, TX,"15,420"
633,2.64,Clear Lake, IA,"7,718"
634,2.64,Shell Knob, MO,"1,568"
635,2.64,Gibsonton, FL,"15,893"
636,2.64,Essex, MD,"37,380"
637,2.63,Madison, IL,"4,061"
638,2.63,Palm City, FL,"23,380"
639,2.62,Alamo Lake, AZ,22
640,2.62,Gumlog, GA,"2,297"
641,2.62,Mount Vernon, MD,737
642,2.61,Del Monte Forest, CA,"6,439"
643,2.61,Edna Bay, AK,21
644,2.59,Speculator, NY,360
645,2.59,Greilickville, MI,"1,960"
646,2.58,Port Ludlow, WA,"2,461"
647,2.57,Hugo, MN,"13,850"
648,2.57,Malabar, FL,"2,793"
649,2.57,Unalakleet, AK,708
650,2.56,Edgard, LA,"2,170"
651,2.54,Birmingham, AL,"211,705"
652,2.54,Pontoon Beach, IL,"5,804"
653,2.54,Eldersburg, MD,"31,799"
654,2.52,Flower Mound, TX,"67,630"
655,2.50,Green Cove Springs, FL,"6,984"
656,2.50,Provo, UT,"114,804"
657,2.50,Delavan Lake, WI,"2,665"
658,2.49,Millville, NJ,"28,603"
659,2.49,Bay Village, OH,"15,508"
660,2.49,Lido Beach, NY,"2,505"
661,2.49,Mequon, WI,"23,300"
662,2.48,Point Mackenzie, AK,473
663,2.48,Port Townsend, WA,"9,168"
664,2.48,Sale Creek, TN,"2,564"
665,2.47,Poteau, OK,"8,563"
666,2.47,Buffalo, MN,"15,710"
667,2.47,Kiawah Island, SC,"1,311"
668,2.47,Kivalina, AK,532
669,2.46,Chula Vista, CA,"253,031"
670,2.46,Chisago City, MN,"4,951"
671,2.46,Lutz, FL,"20,184"
672,2.45,Spring Hill, FL,"100,270"
