Rank,Population Growth Rate,City,State,Population
7991,16.92%,Apple Creek, OH,"1,168"
7992,16.92%,Robinson, PA,546
7993,16.91%,Middlebury, IN,"3,456"
7994,16.91%,Plantation CDP, FL,"4,873"
7995,16.91%,Bullhead City, AZ,"39,480"
7996,16.91%,Reevesville, SC,242
7997,16.91%,Echo, MN,325
7998,16.90%,Jemison, AL,"2,628"
7999,16.90%,Metcalf, IL,249
8000,16.90%,Briar Creek, PA,761
8001,16.89%,Clearfield, UT,"30,361"
8002,16.89%,Bothell West, WA,"18,243"
8003,16.89%,Zellwood, FL,"2,969"
8004,16.89%,Haiku-Pauwela, HI,"7,689"
8005,16.88%,Cranbury, NJ,"2,347"
8006,16.87%,Lexington-Fayette, KY,"304,473"
8007,16.87%,Elba, NE,284
8008,16.87%,Broadalbin, NY,"1,649"
8009,16.87%,Woodville, CA,"1,961"
8010,16.85%,Potwin, KS,534
8011,16.84%,Edneyville, NC,"2,255"
8012,16.84%,Kenesaw, NE,"1,020"
8013,16.84%,Wernersville, PA,"2,512"
8014,16.83%,Soulsbyville, CA,"2,020"
8015,16.83%,Icard, NC,"3,194"
8016,16.82%,West Chicago, IL,"27,416"
8017,16.82%,Clifton, CO,"20,262"
8018,16.81%,Odessa, MN,132
8019,16.81%,Rose Hill, KS,"4,009"
8020,16.81%,Fort Recovery, OH,"1,487"
8021,16.80%,Granite Bay, CA,"22,646"
8022,16.80%,Butler, AL,"2,280"
8023,16.80%,Timberlake, VA,"12,478"
8024,16.79%,Topton, PA,"2,275"
8025,16.78%,Truckee, CA,"16,191"
8026,16.78%,Wray, CO,"2,554"
8027,16.78%,Morris, IL,"13,929"
8028,16.78%,Palmetto Estates, FL,"15,969"
8029,16.77%,Morristown, TN,"29,152"
8030,16.77%,La Paz, IN,571
8031,16.77%,Seven Points, TX,"1,337"
8032,16.77%,Santa Clara, CA,"119,525"
8033,16.76%,Hornsby Bend, TX,"7,355"
8034,16.76%,Jayton, TX,599
8035,16.76%,Brule, WI,209
8036,16.76%,Wink, TX,"1,073"
8037,16.75%,Samsula-Spruce Creek, FL,"5,694"
8038,16.75%,Spring Valley Village, TX,"3,938"
8039,16.75%,Forest City, FL,"14,724"
8040,16.74%,Rib Lake, WI,"1,025"
8041,16.74%,Queen City, TX,"1,883"
8042,16.73%,Good Hope, AL,"2,295"
8043,16.73%,Coral Gables, FL,"49,319"
8044,16.73%,Paul, ID,"1,165"
8045,16.73%,Tualatin, OR,"26,604"
8046,16.73%,Santa Venetia, CA,"5,017"
8047,16.72%,Taylors, SC,"23,490"
8048,16.71%,Evadale, TX,"1,669"
8049,16.71%,Davidsville, PA,"1,306"
8050,16.71%,Wilkeson, WA,461
8051,16.70%,Holiday Pocono, PA,538
8052,16.70%,Bronson, FL,"1,125"
8053,16.69%,Badger, AK,"21,175"
8054,16.68%,Riverside, MD,"7,150"
8055,16.68%,Antioch, CA,"105,630"
8056,16.67%,Volcano, HI,"2,603"
8057,16.67%,Westgate, IA,273
8057,16.67%,Talmage, KS,119
8057,16.67%,Big Spring, MD,105
8057,16.67%,Mason, WI,84
8057,16.67%,Vaiva Vo, AZ,35
8057,16.67%,Rockport, AR,924
8057,16.67%,Chesapeake, MO,49
8064,16.66%,Midway City, CA,"9,104"
8065,16.66%,Howard City, MI,"1,849"
8066,16.64%,Cary, IL,"18,115"
8067,16.63%,Manor, PA,"3,261"
8068,16.63%,Eden Isle, LA,"7,302"
8069,16.62%,Fort Pierre, SD,"2,322"
8070,16.62%,High Point, FL,"3,467"
8071,16.62%,Wilder, KY,"3,060"
8072,16.61%,Orange, VA,"4,808"
8073,16.61%,Hollandale, WI,330
8074,16.61%,Hannibal, NY,632
8075,16.60%,Morehead, KY,"6,896"
8076,16.60%,Cross Roads, PA,604
8077,16.60%,Sutherlin, OR,"7,776"
8078,16.58%,Greybull, WY,"2,116"
8079,16.58%,Beverly, KS,232
8079,16.58%,Allenton, WI,928
8081,16.58%,Livonia, LA,"1,561"
8082,16.58%,Grand Island, NE,"50,059"
8083,16.58%,Richland, PA,"1,758"
8084,16.58%,Brookings, OR,"6,350"
8085,16.57%,Lake Kathryn, FL,985
8086,16.55%,Torrington, WY,"6,732"
8086,16.55%,Homestead Valley, CA,"3,366"
8088,16.55%,Columbus, IN,"45,522"
8089,16.55%,Alvarado, TX,"3,832"
8090,16.54%,Bernie, MO,"2,071"
8091,16.54%,Westville, OK,"1,860"
8091,16.54%,Gisela, AZ,620
8093,16.54%,Del Norte, CO,"1,987"
8094,16.54%,Glencoe, FL,"2,896"
8095,16.53%,Vail, CO,"5,280"
8096,16.53%,Benton, MO,853
8097,16.53%,Glasgow, DE,"14,962"
8098,16.52%,West Wildwood, NJ,522
8099,16.51%,Petrolia, PA,254
8100,16.51%,Panguitch, UT,"1,891"
8101,16.51%,Oakwood, IL,"1,750"
8102,16.51%,Upsala, MN,494
8103,16.51%,Troy, IL,"9,931"
8104,16.50%,Rutledge, MO,120
8105,16.50%,Boynton Beach, FL,"70,355"
8106,16.50%,Rio Grande, OH,"1,066"
8107,16.50%,Parachute, CO,"1,172"
8108,16.50%,Plainfield, VT,346
8109,16.49%,Heflin, AL,"3,497"
8110,16.49%,Johnson City, TN,"64,614"
8111,16.48%,Mesa Vista, CA,212
8112,16.48%,Bonadelle Ranchos-Madera Ranchos, CA,"8,503"
8113,16.48%,Mountain View town, WY,"1,343"
8114,16.47%,Randleman, NC,"4,143"
8115,16.47%,Brownsville, LA,"4,356"
8116,16.46%,Alvin, TX,"24,938"
8117,16.46%,Northeast Ithaca, NY,"3,092"
8118,16.46%,Casper, WY,"57,815"
8119,16.46%,Lengby, MN,92
8119,16.46%,Genoa, NV,"1,104"
8119,16.46%,Elmwood Park, WI,552
8122,16.45%,Beaver Dam, KY,"3,532"
8123,16.45%,Monterey, LA,538
8123,16.45%,Orrstown, PA,269
8125,16.45%,South Riding, VA,"26,762"
8126,16.45%,Bethany, WV,"1,147"
8127,16.44%,Richland, GA,"2,089"
8128,16.44%,Hooker, OK,"2,082"
8129,16.44%,Keota, OK,602
8130,16.43%,Melrose, MN,"3,599"
8131,16.43%,Arbon Valley, ID,730
8132,16.42%,Roswell, GA,"92,364"
8133,16.42%,Bluejacket, OK,319
8134,16.42%,Gackle, ND,390
8135,16.42%,Buffalo, OK,"1,397"
8136,16.41%,Conway Springs, KS,"1,539"
8137,16.41%,Siler City, NC,"8,109"
8138,16.41%,Vineyard Haven, MA,"2,384"
8139,16.39%,Sandyville, IA,71
8139,16.39%,Menoken, ND,71
8141,16.39%,Mulvane, KS,"6,000"
8142,16.39%,Port Leyden, NY,774
8143,16.39%,Bayside, TX,419
8144,16.39%,North Plains, OR,"1,868"
8145,16.39%,Ennis, TX,"18,674"
8146,16.38%,Huntsville, AL,"184,132"
8147,16.38%,Cumminsville, NY,135
8148,16.38%,Norwood Young America, MN,"3,617"
8149,16.37%,Pembroke Pines, FL,"159,920"
8150,16.36%,Coram, NY,"40,637"
8151,16.36%,University Park, NM,"3,179"
8152,16.36%,Montpelier, LA,249
8153,16.35%,Maquon, IL,370
8154,16.35%,Glenvar Heights, FL,"18,899"
8155,16.35%,Moberly, MO,"13,898"
8156,16.34%,Richland, MS,"7,012"
8157,16.34%,Enon, VA,"3,752"
8158,16.34%,Fayetteville, AL,"1,232"
8159,16.34%,Palm City, FL,"23,380"
8160,16.34%,Sicily Island, LA,527
8161,16.33%,Tolono, IL,"3,141"
8162,16.33%,Sun Lakes, AZ,"13,885"
8163,16.33%,Pine Island Center, FL,"2,002"
8164,16.33%,Norman, NE,57
8165,16.32%,Edgerton, MO,620
8166,16.32%,Travelers Rest, SC,"4,768"
8167,16.32%,Casa Conejo, CA,"3,699"
8168,16.32%,Logan, WV,"1,896"
8169,16.30%,Irwin, IL,107
8170,16.28%,Cathlamet, WA,657
8171,16.28%,Lumber City, PA,100
8172,16.27%,Brownsboro Farm, KY,786
8173,16.27%,Frazier Park, CA,"2,730"
8174,16.26%,Shiloh, AL,336
8175,16.26%,East Burke, VT,143
8176,16.26%,Rolling Hills, WY,522
8177,16.26%,Eastville, VA,236
8178,16.24%,Lakeview, GA,"5,603"
8179,16.24%,Dixon, CA,"18,718"
8180,16.24%,Middlebush, NJ,"2,341"
8181,16.24%,Krebs, OK,"2,384"
8182,16.23%,Greenville, NY,573
8183,16.23%,Mcadoo, PA,"2,643"
8184,16.22%,Bonanza Hills, TX,43
8185,16.22%,Arlington, VA,"220,173"
8186,16.21%,South Burlington, VT,"18,378"
8187,16.21%,Oak Grove CDP, TN,"4,732"
8188,16.20%,Menifee, CA,"81,658"
8189,16.19%,Apache Junction, AZ,"36,965"
8190,16.19%,Smeltertown, CO,122
8191,16.18%,Geneseo, KS,316
8192,16.17%,Bruceville Eddy, TX,"1,731"
8193,16.17%,Boulder Creek, CA,"4,741"
8193,16.17%,Bowlegs, OK,431
8195,16.17%,South Ogden, UT,"16,702"
8196,16.17%,Pikeville, KY,"7,313"
8197,16.17%,Denmark, IA,309
8198,16.16%,Lake Isabella Village, MI,"1,811"
8199,16.16%,Laramie, WY,"31,601"
8200,16.16%,Tecopa, CA,115
8201,16.16%,Ontario, OH,"6,160"
8202,16.16%,Breesport, NY,913
8203,16.16%,Carlisle, IA,"4,062"
8204,16.16%,Platte Center, NE,417
8205,16.16%,Hillsboro, IN,568
8206,16.15%,Flat Rock, MI,"9,859"
8207,16.15%,Farnham, NY,374
8208,16.14%,Alma Center, WI,518
8209,16.14%,Dalton, OH,"1,864"
8210,16.14%,Sunnyslope, CA,"5,153"
8211,16.13%,Selah, WA,"7,328"
8212,16.13%,Shelley, ID,"4,428"
8212,16.13%,Buncombe, IL,216
8212,16.13%,Bath, SD,252
8215,16.12%,Woodville, WI,"1,282"
8216,16.12%,Kennett Square, PA,"6,123"
8217,16.12%,North Beach, MD,"2,183"
8218,16.12%,Chapman, KS,"1,441"
8219,16.11%,Winston, OR,"5,356"
8220,16.10%,Floresville, TX,"6,813"
8221,16.10%,Carter Lake, IA,"3,771"
8222,16.10%,Hartley, TX,512
8223,16.10%,Wildwood Lake, TN,"3,541"
8224,16.09%,Andover, IA,101
8225,16.09%,Concorde Hills, OH,570
8226,16.09%,Avis, PA,"1,732"
8227,16.09%,Newport, WA,"2,230"
8228,16.08%,Hobe Sound, FL,"13,205"
8229,16.07%,Niceville, FL,"13,562"
8230,16.07%,Running Water, SD,65
8231,16.07%,Livingston, TN,"4,060"
8232,16.06%,Winfall, NC,643
8233,16.06%,Shelton, WA,"9,798"
8234,16.06%,Green Harbor-Cedar Crest, MA,"2,782"
8235,16.06%,Elk City, OK,"12,198"
8236,16.05%,Genoa, OH,"2,588"
8237,16.05%,Meeker, OK,"1,135"
8238,16.05%,Almond, NY,535
8239,16.05%,North Deland, FL,"1,540"
8240,16.05%,Goodrich, TX,282
8241,16.05%,Kennebunk, ME,"5,575"
8242,16.04%,Dry Ridge, KY,"2,315"
8243,16.04%,Warren, IN,"1,476"
8243,16.04%,Saint Leo, MN,123
8245,16.03%,Spring Ridge, PA,912
8246,16.03%,Wrightwood, CA,"4,452"
8247,16.03%,Haugen, WI,333
8248,16.02%,Camp Verde, AZ,"10,965"
8249,16.02%,Wakefield, NE,"1,637"
8250,16.00%,Sehili, AZ,87
8250,16.00%,Bellefonte, AR,464
8250,16.00%,Cale, AR,87
8250,16.00%,Denton, NC,"1,682"
8250,16.00%,Modoc, IN,261
8255,15.99%,Woodland, IL,370
8255,15.99%,Hamilton, NY,"4,070"
8255,15.99%,Mechanicstown, NY,"7,030"
8258,15.99%,Scandia, MN,"3,976"
8259,15.98%,Gainesville, MO,733
8260,15.97%,South Cle Elum, WA,530
8261,15.97%,Gerald, MO,"1,358"
8262,15.96%,South Salem, OH,247
8263,15.96%,Saint James, MI,218
8263,15.96%,Bethany, IN,109
8265,15.96%,Cheyenne, WY,"61,470"
8266,15.95%,Fort Drum, NY,"14,057"
8267,15.95%,Wiggins, MS,"4,463"
8268,15.95%,Emery, SD,509
8269,15.94%,Neilton, WA,400
8269,15.94%,Saint Augustine, FL,"13,440"
8269,15.94%,Greeley, IA,320
8272,15.94%,Paint Rock, TX,371
8273,15.93%,Devon, PA,"1,790"
8274,15.93%,Clearwater, KS,"2,525"
8275,15.93%,Mandan, ND,"19,381"
8276,15.93%,Nett Lake, MN,313
8277,15.92%,La Grange, GA,"30,138"
8278,15.92%,Starkweather, ND,182
8279,15.92%,Plover, WI,"12,195"
8280,15.92%,Huntingburg, IN,"6,489"
8281,15.91%,Auburn, IL,"5,004"
8281,15.91%,Williamsville, IL,"1,668"
8283,15.91%,Deepstep, GA,153
8283,15.91%,Luverne, ND,51
8283,15.91%,Bloomingdale, MI,612
8283,15.91%,Lebam, WA,204
8287,15.91%,Denver, PA,"3,862"
8288,15.90%,Emerald Lake Hills, CA,"4,519"
8289,15.90%,Magnolia, OH,"1,079"
8290,15.89%,Hartland, WI,"9,161"
8291,15.88%,Reed City, MI,"2,816"
8292,15.88%,Morrill, KS,321
8293,15.88%,Denham Springs, LA,"10,148"
8294,15.88%,Winchester, TN,"8,493"
8295,15.88%,Newton, UT,810
8296,15.87%,Seminole, TX,"6,848"
8297,15.87%,Ladson, SC,"15,369"
8298,15.86%,Ephrata, WA,"7,888"
8299,15.85%,Mingus, TX,285
8299,15.85%,Slater, WY,95
8301,15.85%,Hackett, AR,804
8302,15.85%,Cromwell, OK,307
8303,15.85%,Parksdale, CA,"3,114"
8304,15.84%,Hope, ND,351
8304,15.84%,Toronto, SD,234
8306,15.84%,Pittsburg, CA,"65,761"
8307,15.84%,West Mayfield, PA,"1,375"
8308,15.84%,Springfield, TN,"16,598"
8309,15.83%,Mountville, PA,"2,831"
8310,15.83%,Partridge, KS,300
8310,15.83%,Noble, LA,300
8312,15.82%,Foreman, AR,"1,303"
8313,15.82%,Bothell, WA,"34,920"
8314,15.82%,Cherry Valley, CA,"6,823"
8315,15.81%,Bartow, FL,"17,766"
8316,15.81%,Hobart, WI,"6,951"
8317,15.81%,Rossville, GA,"4,066"
8318,15.81%,West Point, VA,"3,319"
8319,15.80%,Carlton, MN,938
8320,15.79%,Arcadia, FL,"7,647"
8321,15.79%,Makakilo, HI,"19,819"
8322,15.79%,Tetonia, ID,286
8322,15.79%,Sylvanite, MT,110
8322,15.79%,Saint Charles, SD,22
8322,15.79%,Owasa, IA,44
8322,15.79%,Tingley, IA,198
8327,15.78%,Kearney, NE,"31,759"
8328,15.78%,Lovelock, NV,"2,319"
8329,15.78%,Stonerstown, PA,433
8330,15.77%,Iowa, LA,"3,083"
8331,15.77%,Marne, OH,668
8332,15.76%,Jane Lew, WV,470
8333,15.76%,Boardman, OR,"3,305"
8334,15.75%,Duncansville, PA,"1,433"
8335,15.75%,Marysvale, UT,441
8335,15.75%,Eleva, WI,735
8337,15.75%,Eureka, IL,"5,638"
8338,15.75%,North Webster, IN,"1,235"
8339,15.74%,Lexington, IL,"2,213"
8340,15.74%,Valparaiso, IN,"31,745"
8341,15.73%,The Hammocks, FL,"54,833"
8342,15.73%,Weatherford, OK,"11,410"
8343,15.73%,Clarkrange, TN,618
8344,15.73%,Rensselaer Falls, NY,390
8345,15.72%,Centuria, WI,"1,001"
8346,15.72%,Grapevine, TX,"48,671"
8347,15.72%,Jackson, CA,"4,616"
8348,15.72%,De Queen, AR,"6,671"
8349,15.72%,Bealeton, VA,"4,521"
8350,15.71%,Cottage Grove, OR,"9,772"
8351,15.71%,Santa Rosa, CA,"170,782"
8352,15.71%,Columbia, MD,"102,116"
8353,15.70%,Ferndale, MD,"18,577"
8354,15.70%,Southold, NY,"6,323"
8355,15.70%,Deschutes River Woods, OR,"5,358"
8356,15.68%,Brookside, OH,745
8357,15.68%,Coeburn, VA,"2,309"
8358,15.67%,Greenport, NY,"2,369"
8359,15.67%,Corralitos, CA,"2,812"
8360,15.67%,Inola, OK,"1,838"
8361,15.67%,Mountain Road, VA,"1,255"
8362,15.67%,Harrison, IL,982
8363,15.67%,Albany, CA,"19,020"
8364,15.66%,Christie, OK,192
8365,15.66%,Richford, VT,"1,418"
8366,15.66%,Dillwyn, VA,517
8367,15.66%,Honaunau-Napoopoo, HI,"2,792"
8368,15.64%,Athens, IL,"1,996"
8369,15.64%,Reese, MI,"1,590"
8370,15.63%,Elmer, OK,111
8371,15.62%,Chelsea, MI,"5,085"
8372,15.61%,Kincaid, IL,"1,666"
8373,15.61%,Carthage, AR,511
8374,15.61%,West Milton, PA,748
8375,15.61%,Lucerne, CA,"3,318"
8376,15.61%,Camarillo, CA,"65,985"
8377,15.61%,Thompson, ND,"1,163"
8378,15.60%,Whitehorse, SD,163
8379,15.59%,Varnamtown, NC,556
8380,15.59%,Trenton, UT,519
8381,15.59%,Soldotna, AK,"4,345"
8382,15.59%,Kerhonkson, NY,"2,002"
8383,15.59%,Deer Park, TX,"32,965"
8384,15.58%,Wilmington, IL,"5,934"
8385,15.58%,Millsap, TX,408
8386,15.58%,Kirtland Hills, OH,690
8387,15.57%,Antimony, UT,141
8388,15.57%,Charlotte Hall, MD,"1,403"
8389,15.57%,Lake Butler, FL,"2,227"
8390,15.56%,Elko, NV,"19,308"
8391,15.56%,Hanapepe, HI,"2,488"
8392,15.56%,Crab Orchard, KY,973
8393,15.56%,Saint Paul, IN,"1,181"
8394,15.56%,Redcrest, CA,52
8395,15.55%,Roland, OK,"3,284"
8396,15.55%,Covington, GA,"13,342"
8397,15.54%,Brawley, CA,"25,478"
8398,15.52%,Salida, CA,"14,509"
8399,15.52%,Pax, WV,201
8399,15.52%,Burnt Prairie, IL,67
8401,15.52%,Fieldsboro, NJ,603
8402,15.51%,Fairview, NC,"2,882"
8403,15.51%,Indianola, IA,"15,014"
8404,15.50%,Newburg, MO,559
8405,15.49%,West Linn, OR,"25,710"
8406,15.49%,Genola, MN,82
8406,15.49%,Texico, NM,"1,230"
8408,15.49%,Edgerton, MN,"1,193"
8409,15.48%,Kill Devil Hills, NC,"6,810"
8410,15.48%,Fairlee, MD,276
8411,15.48%,Swede Heaven, WA,843
8412,15.48%,Destin, FL,"12,840"
8413,15.47%,Eastport, NY,"1,679"
8414,15.47%,Weidman, MI,"1,015"
8415,15.47%,Del Aire, CA,"10,406"
8416,15.46%,Bernard, IA,112
8416,15.46%,Glenrock, WY,"2,576"
8418,15.46%,Raritan, NJ,"7,318"
8419,15.46%,Dillon, CO,926
8420,15.46%,Hull, IA,"2,263"
8421,15.45%,Senath, MO,"1,905"
8422,15.45%,Chiefland, FL,"2,301"
8423,15.45%,Shoshone, ID,"1,614"
8424,15.44%,Hackensack, MN,329
8425,15.44%,Shinnecock Hills, NY,"2,019"
8426,15.44%,Arrowsmith, IL,344
8427,15.44%,Georgetown, GA,"12,235"
8428,15.43%,Indian River Shores, FL,"3,980"
8429,15.43%,Loa, UT,606
8430,15.43%,Oak Grove, AR,434
8431,15.42%,Sandwich, IL,"7,513"
8432,15.42%,Carrsville, VA,277
8433,15.41%,Pewaukee, WI,"13,599"
8434,15.41%,Highland, IL,"9,738"
8435,15.40%,Dill City, OK,607
8436,15.39%,Shasta, CA,"1,814"
8437,15.39%,Puyallup, WA,"38,092"
8438,15.39%,Wading River, NY,"7,694"
8439,15.39%,Merrillville, IN,"35,262"
8440,15.38%,Morganton, GA,345
8440,15.38%,Pueblitos, NM,795
8440,15.38%,Birmingham, PA,105
8440,15.38%,Tulare, SD,255
8440,15.38%,Redding, IA,90
8440,15.38%,Powhattan, KS,105
8440,15.38%,Pullman, WV,195
8440,15.38%,Louisburg, MN,30
8440,15.38%,Mcgrath, MN,75
8440,15.38%,Mizpah, MN,90
8440,15.38%,Ogema, MN,165
8440,15.38%,Causey, NM,60
8452,15.38%,Leeds, AL,"12,063"
8453,15.38%,Mandeville, LA,"12,102"
8454,15.37%,Spirit Lake, IA,"4,916"
8455,15.37%,Park Ridge, WI,563
8456,15.37%,Salem, OR,"157,967"
8457,15.37%,Hilda, SC,503
8458,15.36%,Leon Valley, TX,"10,658"
8459,15.35%,Ursina, PA,293
8460,15.35%,Frontenac, KS,"3,456"
8461,15.35%,Armour, SD,902
8462,15.34%,Schuyler, NE,"6,195"
8463,15.34%,Sunnyside, WA,"16,038"
8464,15.34%,Raymondville, TX,"11,226"
8465,15.34%,Logansport, LA,"1,880"
8466,15.34%,Pagosa Springs, CO,"1,835"
8467,15.33%,Olanta, SC,707
8468,15.33%,Gilman, IA,692
8469,15.32%,Bloomingdale, FL,"22,879"
8470,15.32%,Vancouver, WA,"165,554"
8471,15.32%,Dresden, OH,"1,641"
8472,15.32%,Eddyville, IA,"1,227"
8473,15.32%,Crompond, NY,"2,364"
8474,15.31%,Middleton, WI,"18,185"
8475,15.31%,Greenport West, NY,"1,936"
8476,15.31%,Sharpsburg, IA,113
8477,15.30%,Lake Catherine, IL,"1,718"
8478,15.30%,Esperance, WA,"4,039"
8479,15.30%,Carrollton, AL,"1,138"
8480,15.29%,Divide, CO,98
8480,15.29%,Pantego, NC,196
8482,15.29%,Mount Pleasant, TX,"16,066"
8483,15.29%,Cohutta, GA,671
8484,15.29%,Vadito, NM,279
8484,15.29%,Stover, MO,"1,116"
8486,15.29%,Moody, TX,"1,614"
8487,15.28%,Penn Valley, CA,"1,599"
8488,15.28%,Madison, WI,"239,848"
8489,15.28%,Minnehaha, WA,"8,864"
8490,15.28%,Oldsmar, FL,"13,730"
8491,15.28%,Orono, ME,"9,514"
8492,15.28%,Humptulips, WA,249
8492,15.28%,Clacks Canyon, AZ,166
8494,15.27%,Pine Manor, FL,"4,363"
8495,15.27%,Union, OH,"6,425"
8496,15.27%,Jackson, WY,"9,967"
8497,15.25%,Choptank, MD,136
8497,15.25%,Elk Creek, CA,136
8499,15.25%,Iona, FL,"13,549"
8500,15.25%,Lahoma, OK,665
8501,15.25%,Ellinwood, KS,"2,494"
8502,15.23%,Dimock, SD,174
8503,15.23%,Sunday Lake, WA,802
8504,15.23%,Lewisville, WA,"1,945"
8505,15.22%,North Judson, IN,"1,930"
8506,15.22%,Douglass, KS,"2,089"
8507,15.22%,Montrose, SD,530
8507,15.22%,Norwood, MO,636
8507,15.22%,Riceboro, GA,848
8510,15.21%,Clayton, NJ,"8,225"
8511,15.21%,Lakeside, VA,"12,854"
8512,15.20%,Bridgeport, WA,"2,372"
8513,15.20%,Piedmont, SC,"5,396"
8514,15.20%,Tustin, CA,"77,765"
8515,15.20%,Round Hill, VA,576
8516,15.20%,Forest Hill Village, MT,235
8517,15.20%,Holts Summit, MO,"3,381"
8518,15.19%,Sneedville, TN,"1,448"
8519,15.19%,Elrod, NC,508
8520,15.19%,Burlington, NC,"51,740"
8521,15.19%,New Chapel Hill, TX,637
8522,15.19%,Twin Lake, MI,"1,858"
8523,15.19%,Harrison, NY,"27,822"
8524,15.18%,Dearing, KS,478
8525,15.18%,Dadeville, MO,258
8526,15.18%,Pettit, OK,888
8527,15.17%,Hilliard, FL,"3,112"
8528,15.17%,Hedrick, IA,964
8529,15.17%,Arthur, NE,167
8530,15.17%,Watertown, TN,"1,564"
8531,15.17%,Dolores, CO,987
8532,15.17%,Bixby, TX,410
8533,15.16%,Troy, OH,"25,334"
8534,15.15%,Golden, CO,"19,759"
8535,15.15%,Alexander, IA,190
8535,15.15%,Cuyuna, MN,266
8537,15.15%,Inver Grove Heights, MN,"34,258"
8538,15.14%,Westwood, MO,327
8539,15.13%,Hilltop Lakes, TX,"1,012"
8540,15.12%,Brooklyn Park, MN,"77,579"
8541,15.12%,Meggett, SC,"1,416"
8542,15.12%,Sheboygan Falls, WI,"7,796"
8543,15.12%,West Tawakoni, TX,"1,683"
8543,15.12%,Cornish, OK,198
8543,15.12%,East Bernstadt, KY,891
8546,15.11%,Grand River, IA,259
8547,15.11%,Terra Alta, WV,"1,676"
8548,15.11%,Riverside, ID,"1,120"
8549,15.11%,Bertha, MN,541
8550,15.10%,Isola, MS,884
8551,15.10%,Hiawassee, GA,930
8552,15.10%,New Paltz, NY,"6,945"
8553,15.09%,Manassas, VA,"40,436"
8554,15.08%,Ingold, NC,557
8555,15.08%,Kanauga, OH,145
8555,15.08%,Pocono Ranch Lands, PA,"1,015"
8557,15.08%,Gnadenhutten, OH,"1,473"
8558,15.08%,Essex, MO,603
8559,15.07%,Oak Springs, AZ,84
8560,15.07%,Malta, IL,"1,115"
8561,15.06%,Bethel, AK,"6,295"
8562,15.06%,Valier, MT,573
8563,15.06%,Roslyn Heights, NY,"7,243"
8564,15.06%,Clearlake, CA,"15,121"
8565,15.06%,Maywood Park, OR,894
8566,15.06%,Benld, IL,"1,773"
8567,15.05%,Palmer Lake, CO,"2,507"
8568,15.05%,Newfane, NY,"3,600"
8569,15.05%,Bayou La Batre, AL,"2,661"
8570,15.04%,Howards Grove, WI,"3,212"
8571,15.04%,Saratoga, NC,436
8572,15.04%,Saint Paul, AK,612
8573,15.03%,Hostetter, PA,842
8574,15.03%,Blue Ridge, AL,"1,531"
8575,15.01%,Tecumseh, IN,843
8576,15.01%,Leonard, TX,"2,123"
8577,15.01%,Cave City, AR,"2,238"
8578,15.00%,Victor, NY,"2,798"
8579,15.00%,Radium, KS,46
8579,15.00%,Fort Bidwell, CA,161
8581,15.00%,Cottage Grove, MN,"35,169"
8582,15.00%,Midland, WA,"8,526"
8583,14.99%,Westfield Center, OH,"1,212"
8584,14.99%,Tampa, FL,"348,934"
8585,14.99%,Boyes Hot Springs, CA,"7,664"
8586,14.98%,Reklaw, TX,376
8587,14.98%,Nephi, UT,"5,442"
8588,14.98%,Bagley, MN,"1,420"
8589,14.97%,Smithville, NJ,"6,950"
8590,14.97%,Sparta, NC,"2,089"
8591,14.96%,Mammoth Lakes, CA,"8,154"
8592,14.96%,Petersham, MA,269
8592,14.96%,Thornburg, PA,538
8594,14.95%,Hebron, OH,"2,338"
8595,14.94%,Lemoyne, PA,"4,592"
8596,14.94%,Scottsville, NY,"2,446"
8597,14.94%,Alderson, OK,300
8597,14.94%,West Union, MN,100
8599,14.94%,Pleasanton, CA,"73,164"
8600,14.94%,Bossier City, LA,"64,895"
8601,14.94%,Lindenhurst, IL,"14,412"
8602,14.94%,Pikeville, TN,"2,047"
8603,14.93%,Loving, NM,"1,524"
8604,14.93%,East Grand Forks, MN,"8,621"
8605,14.93%,Manlius, IL,408
8606,14.93%,Jamestown, NC,"3,549"
8607,14.93%,Platteville, WI,"11,480"
8608,14.93%,Grayson, OK,154
8609,14.92%,Hulbert, OK,624
8610,14.92%,Mount Joy, PA,"7,774"
8611,14.91%,Kinmundy, IL,"1,025"
8612,14.91%,Elmwood, IL,"2,235"
8613,14.91%,San Bernardino, CA,"213,044"
8614,14.91%,Walkersville, MD,"5,966"
8615,14.91%,China Grove, NC,"4,155"
8616,14.91%,Gramercy, LA,"3,523"
8617,14.90%,Loma, CO,"1,442"
8618,14.90%,Quincy, FL,"8,022"
8619,14.89%,Weimar, TX,"2,276"
8620,14.89%,La Selva Beach, CA,"2,932"
8621,14.89%,Greenwood, NE,625
8622,14.89%,Corrales, NM,"8,426"
8623,14.89%,Lakehills, TX,"5,363"
8624,14.89%,Desert Hills, AZ,"2,508"
8625,14.89%,Miami, FL,"416,432"
8626,14.89%,New Brunswick, NJ,"55,804"
8627,14.88%,Biwabik, MN,"1,096"
8628,14.88%,Bluff City, TN,"1,791"
8629,14.88%,Crossnore, NC,278
8630,14.88%,Hobart, IN,"29,136"
8631,14.87%,Hillsborough, NC,"6,256"
8632,14.87%,Arab, AL,"8,241"
8633,14.86%,Kingsley, IA,"1,430"
8634,14.86%,West Decatur, PA,487
8635,14.86%,Denver City, TX,"4,577"
8636,14.85%,Smithville, TN,"4,587"
8637,14.84%,Fayetteville, IL,441
8638,14.84%,Aurora, OH,"15,568"
8639,14.84%,Spearsville, LA,178
