Rank,Land Area (sq mi),City,State,Population
29165,0.04,Airport Heights, TX,95
13420,2.11,Airport Road Addition, TX,67
6466,5.63,Airway Heights, WA,"6,356"
13111,2.2,Aitkin, MN,"2,351"
827,33.33,Ajo, AZ,"3,787"
23904,0.53,Ak Chin, AZ,25
3457,10.58,Ak-Chin Village, AZ,"1,195"
23025,0.61,Akaska, SD,35
16357,1.47,Akeley, MN,376
4799,7.77,Akhiok, AK,103
4932,7.54,Akiachak, AK,590
13488,2.1,Akiak, AK,407
2616,13.6,Akins, OK,481
304,62.03,Akron, OH,"198,492"
11754,2.63,Akron, CO,"1,906"
14012,1.98,Akron, NY,"2,850"
17815,1.22,Akron, PA,"3,923"
17848,1.22,Akron, IA,"1,364"
20209,0.94,Akron, MI,397
22369,0.69,Akron, AL,302
24631,0.46,Akron, IN,"1,337"
2567,13.83,Akutan, AK,879
1263,25.04,Alabaster, AL,"30,978"
758,34.75,Alachua, FL,"9,291"
662,37.96,Alafaya, FL,"85,561"
995,29.53,Alakanuk, AK,733
21797,0.75,Alamance, NC,786
3449,10.61,Alameda, CA,"75,763"
17948,1.2,Alamillo, NM,162
637,39.17,Alamo, NM,707
953,30.28,Alamo, NV,939
3830,9.67,Alamo, CA,"15,639"
5206,7.1,Alamo, TX,"18,907"
13141,2.2,Alamo, TN,"2,423"
14081,1.96,Alamo, GA,"4,701"
23690,0.55,Alamo, ND,62
29030,0.07,Alamo, IN,59
14567,1.84,Alamo Heights, TX,"7,397"
535,43.94,Alamo Lake, AZ,22
1547,21.43,Alamogordo, NM,"31,224"
6716,5.39,Alamosa, CO,"9,427"
9407,3.61,Alamosa East, CO,"1,671"
19812,0.99,Alanson, MI,585
19288,1.03,Alapaha, GA,684
693,36.59,Alatna, AK,2
11490,2.72,Alba, MI,318
19035,1.05,Alba, TX,801
22488,0.67,Alba, PA,103
26071,0.33,Alba, MO,561
388,55.13,Albany, GA,"76,946"
1553,21.39,Albany, NY,"98,287"
1945,17.54,Albany, OR,"51,210"
3320,10.99,Albany, WY,40
8492,4.11,Albany, OK,115
12298,2.44,Albany, MO,"2,125"
12940,2.25,Albany, KY,"1,743"
13456,2.11,Albany, MN,"2,599"
14801,1.79,Albany, CA,"19,020"
14969,1.75,Albany, IN,"1,849"
15842,1.57,Albany, TX,"2,307"
15964,1.54,Albany, VT,204
17432,1.28,Albany, WI,"1,167"
17655,1.25,Albany, OH,"1,202"
18496,1.12,Albany, LA,"1,545"
18865,1.07,Albany, IL,"1,047"
28469,0.13,Albee, SD,7
2055,16.74,Albemarle, NC,"15,924"
20970,0.85,Albers, IL,"1,163"
27289,0.24,Albert, KS,158
23762,0.54,Albert City, IA,672
2857,12.59,Albert Lea, MN,"17,931"
13346,2.13,Alberta, VA,279
26802,0.27,Alberta, MN,104
23451,0.57,Alberton, MT,476
22420,0.68,Albertson, NY,"5,154"
1177,26.56,Albertville, AL,"21,363"
8064,4.37,Albertville, MN,"7,159"
10298,3.19,Albia, IA,"3,788"
28293,0.15,Albin, WY,180
8014,4.41,Albion, MI,"8,416"
10981,2.92,Albion, NY,"5,799"
13298,2.15,Albion, IL,"2,139"
14278,1.91,Albion, IN,"2,347"
14683,1.82,Albion, CA,295
18810,1.08,Albion, PA,"1,526"
19837,0.99,Albion, NE,"1,721"
23189,0.6,Albion, IA,430
24466,0.47,Albion, ID,210
25747,0.36,Albion, WA,546
27264,0.24,Albion, OK,83
27365,0.23,Albright, WV,295
19517,1.01,Albrightsville, PA,154
70,187.73,Albuquerque, NM,"553,576"
22762,0.64,Alburg, VT,497
21224,0.82,Alburnett, IA,612
22193,0.71,Alburtis, PA,"2,372"
24031,0.52,Alcalde, NM,300
96,151.3,Alcan Border, AK,33
26040,0.33,Alcester, SD,785
2396,14.73,Alcoa, TN,"8,556"
7813,4.55,Alcolu, SC,596
12496,2.38,Alcorn State University, MS,703
17896,1.21,Alcova, WY,76
25764,0.35,Alda, NE,635
23178,0.6,Aldan, PA,"4,164"
11503,2.72,Alden, NY,"2,606"
15178,1.71,Alden, IA,756
18920,1.06,Alden, MN,626
25226,0.4,Alden, MI,135
27803,0.19,Alden, KS,108
10231,3.21,Alder, WA,133
13863,2.01,Alder, MT,109
12339,2.43,Alderpoint, CA,255
20627,0.89,Alderson, WV,990
23666,0.55,Alderson, OK,300
6777,5.34,Alderton, WA,"2,937"
14087,1.96,Alderwood Manor, WA,"8,628"
4717,7.9,Aldine, TX,"15,375"
27240,0.24,Aldora, GA,93
24486,0.47,Aldrich, MN,73
28125,0.16,Aldrich, MO,75
11871,2.59,Aledo, TX,"2,866"
12503,2.38,Aledo, IL,"3,724"
1293,24.53,Aleknagik, AK,231
301,62.2,Aleneva, AK,63
5542,6.67,Alex, OK,547
8215,4.27,Alexander, IA,190
13078,2.21,Alexander, AR,"2,880"
16582,1.43,Alexander, ND,272
24858,0.44,Alexander, NY,528
27161,0.25,Alexander, KS,34
607,40.84,Alexander City, AL,"14,815"
1061,28.41,Alexandria, LA,"47,983"
2187,15.96,Alexandria, MN,"11,465"
2341,15.03,Alexandria, VA,"146,422"
3279,11.11,Alexandria, AL,"3,947"
5352,6.92,Alexandria, KY,"8,654"
11761,2.63,Alexandria, IN,"5,100"
13821,2.02,Alexandria, TN,"1,184"
22903,0.62,Alexandria, SD,740
25183,0.4,Alexandria, NE,162
25484,0.38,Alexandria, MO,136
27204,0.25,Alexandria, OH,572
28717,0.11,Alexandria, PA,401
21684,0.77,Alexandria Bay, NY,"1,001"
24438,0.47,Alexis, IL,862
23588,0.56,Alfarata, PA,199
18868,1.07,Alford, FL,487
29028,0.07,Alfordsville, IN,84
17676,1.25,Alfred, TX,128
18003,1.19,Alfred, NY,"4,278"
11840,2.6,Alger, WA,164
26604,0.28,Alger, OH,910
5158,7.19,Algodones, NM,896
5594,6.6,Algoma, MS,606
12207,2.47,Algoma, WI,"3,152"
7903,4.49,Algona, IA,"5,513"
17357,1.29,Algona, WA,"3,090"
16572,1.43,Algonac, MI,"4,065"
2953,12.23,Algonquin, IL,"30,189"
21912,0.74,Algonquin, MD,"1,561"
8604,4.03,Algood, TN,"3,538"
4880,7.63,Alhambra, CA,"84,400"
21770,0.76,Alhambra, IL,675
13283,2.15,Alhambra Valley, CA,499
16513,1.44,Ali Chuk, AZ,119
13611,2.07,Ali Chukson, AZ,107
21639,0.77,Ali Molina, AZ,142
3011,11.99,Alice, TX,"19,358"
20064,0.96,Alice, ND,35
6221,5.89,Alice Acres, TX,354
7789,4.56,Aliceville, AL,"3,892"
28520,0.13,Alicia, AR,153
26900,0.26,Aline, OK,234
8331,4.19,Aliquippa, PA,"9,356"
4974,7.47,Aliso Viejo, CA,"49,437"
10759,3.01,Allakaket, AK,72
28923,0.08,Allamuchy, NJ,100
8847,3.9,Allardt, TN,558
8944,3.85,Allegan, MI,"5,030"
22207,0.71,Allegany, NY,"1,868"
25802,0.35,Alleghany, CA,115
11608,2.68,Alleghenyville, PA,"1,199"
11555,2.7,Alleman, IA,592
1193,26.29,Allen, TX,"89,845"
10158,3.24,Allen, SD,655
20661,0.89,Allen, OK,990
25533,0.37,Allen, NE,316
25772,0.35,Allen, MD,88
26736,0.27,Allen, KS,333
28201,0.16,Allen, MI,227
27934,0.18,Allen City, KY,180
5280,7,Allen Park, MI,"27,869"
1434,22.73,Allendale, MI,"18,393"
5974,6.14,Allendale, CA,"1,613"
10021,3.31,Allendale, SC,"3,328"
10547,3.1,Allendale, NJ,"6,666"
23492,0.57,Allendale, MO,94
26313,0.31,Allendale, IL,633
18664,1.1,Allenhurst, GA,555
26897,0.26,Allenhurst, NJ,486
19984,0.97,Allenport, PA,592
13413,2.12,Allenport borough, PA,461
3079,11.75,Allenspark, CO,632
14045,1.97,Allensville, PA,452
20271,0.93,Allensville, KY,143
10531,3.1,Allensworth, CA,480
16497,1.45,Allenton, WI,928
958,30.23,Allentown, FL,990
1942,17.55,Allentown, PA,"118,793"
10604,3.07,Allentown, GA,242
23104,0.6,Allentown, NJ,"1,828"
23359,0.58,Allenville, IL,130
28204,0.15,Allenville, MO,76
15077,1.73,Allenwood, NJ,"1,022"
23272,0.59,Allenwood, PA,513
18371,1.14,Allerton, IA,474
22428,0.68,Allerton, IL,244
19178,1.04,Allgood, AL,607
4136,8.92,Alliance, OH,"22,196"
7564,4.71,Alliance, NE,"8,501"
13532,2.09,Alliance, NC,802
19844,0.99,Alligator, MS,382
10950,2.93,Allison, IA,"1,184"
22512,0.67,Allison, PA,564
2565,13.84,Allison Park, PA,"20,867"
10046,3.3,Allisonia, VA,156
7709,4.61,Allouez, WI,"13,948"
5397,6.87,Alloway, NJ,"1,710"
23176,0.6,Allport, PA,367
27987,0.17,Allport, AR,228
15791,1.58,Allyn, WA,"2,098"
6180,5.93,Alma, MI,"9,289"
6585,5.52,Alma, GA,"3,514"
6660,5.44,Alma, TX,412
6710,5.4,Alma, AR,"5,514"
6862,5.27,Alma, WI,766
18805,1.08,Alma, IL,382
20967,0.85,Alma, NE,"1,159"
23388,0.58,Alma, KS,826
25687,0.36,Alma, CO,348
26702,0.28,Alma, MO,375
19702,1,Alma Center, WI,518
20679,0.88,Almanor, CA,10
23462,0.57,Almedia, PA,"1,014"
18346,1.14,Almena, WI,688
23081,0.61,Almena, KS,524
23979,0.52,Almira, WA,254
19457,1.01,Almond, WI,452
23521,0.56,Almond, NY,535
11734,2.64,Almont, ND,122
16603,1.42,Almont, MI,"2,670"
25278,0.39,Almyra, AR,336
5043,7.37,Aloha, OR,"52,902"
18608,1.11,Alondra Park, CA,"8,833"
14756,1.8,Alorton, IL,"1,729"
19569,1.01,Alpaugh, CA,969
4345,8.54,Alpena, MI,"10,336"
15517,1.63,Alpena, SD,296
17107,1.33,Alpena, AR,436
15330,1.67,Alpha, NJ,"2,320"
20207,0.94,Alpha, MI,83
26155,0.32,Alpha, IL,595
28024,0.17,Alpha, MN,252
1145,26.91,Alpharetta, GA,"60,903"
1160,26.78,Alpine, CA,"14,580"
5016,7.42,Alpine, UT,"9,856"
5752,6.41,Alpine, NJ,"1,710"
7597,4.69,Alpine, TX,"6,026"
19121,1.04,Alpine, CO,137
21313,0.81,Alpine, OR,136
22264,0.7,Alpine, WY,744
23131,0.6,Alpine, AZ,127
7158,5.03,Alpine Northeast, WY,10
16590,1.43,Alpine Northwest, WY,295
11274,2.8,Alpine Village, CA,105
25928,0.34,Alsace Manor, PA,285
28208,0.15,Alsea, OR,142
1000,29.36,Alsen, ND,55
23686,0.55,Alsey, IL,264
5775,6.39,Alsip, IL,"19,385"
11155,2.85,Alston, GA,157
4473,8.33,Alta, WY,390
7706,4.61,Alta, UT,342
12485,2.38,Alta, CA,369
18853,1.07,Alta, IA,"1,919"
4482,8.32,Alta Sierra, CA,"6,902"
21784,0.76,Alta Vista, IA,293
25725,0.36,Alta Vista, KS,474
4246,8.71,Altadena, CA,"44,622"
16963,1.36,Altamahaw, NC,376
1660,20.16,Altamont, TN,"1,070"
4593,8.1,Altamont, OR,"19,278"
15493,1.64,Altamont, KS,"1,099"
16688,1.41,Altamont, IL,"2,257"
17622,1.25,Altamont, SD,41
18030,1.19,Altamont, NY,"1,609"
20359,0.92,Altamont, PA,710
26989,0.26,Altamont, MO,200
28325,0.14,Altamont, UT,284
4092,9.01,Altamonte Springs, FL,"41,889"
7321,4.91,Altavista, VA,"3,456"
19069,1.05,Altenburg, MO,466
16407,1.46,Altha, FL,619
13467,2.1,Altheimer, AR,"1,012"
13604,2.07,Altmar, NY,372
15192,1.7,Alto, TX,"1,323"
18614,1.11,Alto, GA,"1,103"
28519,0.13,Alto, CA,678
29118,0.05,Alto Bonito Heights, TX,415
13349,2.13,Alto Pass, IL,486
2273,15.47,Alton, IL,"27,517"
6232,5.88,Alton, TX,"14,735"
13546,2.08,Alton, UT,115
14536,1.85,Alton, IA,"1,190"
15830,1.57,Alton, MO,"1,173"
24597,0.46,Alton, NH,397
26291,0.31,Alton, KS,133
28023,0.17,Alton, IN,40
15174,1.71,Altona, NY,832
15282,1.69,Altona, CO,544
19691,1,Altona, IL,482
27532,0.22,Altona, IN,255
3720,9.91,Altoona, PA,"45,987"
3951,9.35,Altoona, IA,"15,317"
7066,5.09,Altoona, WA,40
7660,4.65,Altoona, WI,"6,940"
8152,4.32,Altoona, AL,764
23718,0.55,Altoona, KS,390
24759,0.45,Altoona, FL,103
10850,2.98,Altura, MN,467
398,53.93,Alturas, FL,"3,948"
12325,2.43,Alturas, CA,"2,714"
1849,18.37,Altus, OK,"19,716"
14682,1.82,Altus, AR,843
3596,10.19,Alum Creek, WV,"1,832"
17929,1.2,Alum Rock, CA,"10,992"
1952,17.48,Alva, FL,"2,040"
12465,2.39,Alva, OK,"4,990"
21433,0.79,Alvan Village, IL,255
8502,4.1,Alvarado, TX,"3,832"
27541,0.22,Alvarado, MN,437
1306,24.29,Alvin, TX,"24,938"
28768,0.1,Alvo, NE,155
16066,1.52,Alvord, TX,"1,523"
26700,0.28,Alvord, IA,236
27077,0.25,Alvordton, OH,195
24051,0.51,Alzada, MT,37
9576,3.52,Ama, LA,"1,362"
28989,0.07,Amada Acres, TX,115
6872,5.26,Amado, AZ,166
26242,0.31,Amador City, CA,164
5661,6.53,Amagansett, NY,"1,355"
28666,0.11,Amagon, AR,91
9765,3.42,Amalga, UT,527
18460,1.13,Amana, IA,334
26418,0.3,Amanda, OH,670
4526,8.22,Amanda Park, WA,175
16092,1.52,Amargosa Colonia, TX,5
178,99.48,Amarillo, TX,"194,930"
8597,4.04,Amasa, MI,351
27395,0.23,Amaya Colonia, TX,31
25578,0.37,Amazonia, MO,270
8722,3.96,Amber, OK,352
15612,1.61,Amberg, WI,172
9614,3.5,Amberley, OH,"3,585"
28280,0.15,Ambia, IN,256
4106,8.98,Ambler, AK,329
20930,0.85,Ambler, PA,"6,481"
3687,9.99,Amboy, WA,"1,558"
5859,6.29,Amboy, IL,"2,319"
25786,0.35,Amboy, IN,348
26266,0.31,Amboy, MN,499
16280,1.49,Ambridge, PA,"6,973"
10665,3.05,Ambrose, GA,502
18916,1.07,Ambrose, ND,26
11912,2.57,Amelia, LA,"2,290"
14793,1.79,Amelia, OH,"5,323"
9151,3.75,Amelia Court House, VA,825
16576,1.43,Amenia, ND,125
17845,1.22,Amenia, NY,"1,222"
7397,4.84,American Canyon, CA,"20,089"
15279,1.69,American Falls, ID,"4,398"
4002,9.2,American Fork, UT,"27,366"
3237,11.24,Americus, GA,"16,557"
17547,1.26,Americus, IN,535
18537,1.12,Americus, KS,822
10885,2.96,Amery, WI,"2,890"
1315,24.21,Ames, IA,"61,276"
10038,3.3,Ames, TX,"1,195"
26098,0.33,Ames, NE,75
26448,0.3,Ames, OK,254
28467,0.13,Ames, NY,176
15671,1.6,Ames Lake, WA,"1,231"
2940,12.26,Amesbury Town, MA,"16,554"
10814,2.99,Amesti, CA,"3,213"
27518,0.22,Amesville, OH,153
5237,7.06,Amherst, OH,"12,080"
7330,4.9,Amherst, VA,"2,643"
17301,1.3,Amherst, WI,"1,180"
20429,0.91,Amherst, TX,949
22046,0.73,Amherst, NH,490
24671,0.45,Amherst, CO,35
27523,0.22,Amherst, NE,240
7281,4.94,Amherst Center, MA,"19,543"
17884,1.21,Amherst Junction, WI,391
10902,2.95,Amherstdale, WV,201
22748,0.64,Amidon, ND,32
16145,1.51,Amistad Acres, TX,14
8906,3.87,Amite City, LA,"4,234"
10084,3.28,Amity, AR,774
23167,0.6,Amity, OR,"1,568"
28007,0.17,Amity, MO,24
18024,1.19,Amity Gardens, PA,"3,290"
13423,2.11,Amityville, NY,"9,551"
5104,7.26,Ammon, ID,"14,257"
22808,0.63,Amo, IN,495
27567,0.21,Amoret, MO,195
27042,0.25,Amorita, OK,1
2873,12.54,Amory, MS,"7,197"
6254,5.86,Amsterdam, NY,"18,348"
11536,2.71,Amsterdam, MT,207
23459,0.57,Amsterdam, MO,237
26177,0.32,Amsterdam, OH,538
10579,3.08,Anacoco, LA,"1,077"
6,736.53,Anaconda-Deer Lodge County, MT,"9,243"
3078,11.75,Anacortes, WA,"15,965"
29209,0.03,Anacua, TX,12
5196,7.13,Anadarko, OK,"6,786"
442,49.84,Anaheim, CA,"342,973"
9374,3.63,Anahola, HI,"2,122"
13377,2.13,Anahuac, TX,"2,110"
7399,4.83,Anaktuvuk Pass, AK,233
22999,0.61,Anamoose, ND,265
11831,2.6,Anamosa, IA,"5,526"
23414,0.58,Anawalt, WV,212
27799,0.19,Anchor, IL,130
9587,3.51,Anchor Bay, CA,254
193,91.77,Anchor Point, AK,"2,189"
4,"1,704.68",Anchorage, AK,"298,178"
10890,2.96,Anchorage, KY,"2,154"
12353,2.42,Ancient Oaks, PA,"7,312"
23417,0.57,Andale, KS,879
1714,19.66,Andalusia, AL,"9,048"
18047,1.18,Andalusia, IL,"1,471"
540,43.74,Anderson, AK,257
593,41.37,Anderson, IN,"55,789"
2422,14.59,Anderson, SC,"26,798"
5793,6.37,Anderson, CA,"10,066"
13645,2.06,Anderson, MO,"2,508"
17358,1.29,Anderson, AL,322
19896,0.98,Anderson, SD,229
20219,0.94,Anderson, NJ,252
24061,0.51,Anderson, TX,247
26065,0.33,Anderson, IA,12
4817,7.74,Anderson Island, WA,877
12851,2.27,Andersonville, OH,886
15581,1.62,Andersonville, TN,238
16833,1.38,Andersonville, GA,232
17988,1.19,Andes, NY,219
797,33.88,Andover, MN,"31,271"
3686,9.99,Andover, KS,"12,113"
9266,3.69,Andover, MA,"8,953"
16453,1.45,Andover, NJ,677
16914,1.37,Andover, OH,"1,029"
19630,1,Andover, NY,860
19751,0.99,Andover, IL,582
26767,0.27,Andover, SD,87
27796,0.19,Andover, IA,101
26826,0.27,Andrew, IA,399
5355,6.92,Andrews, MD,"3,356"
6392,5.72,Andrews, FL,"1,198"
