Rank,Crime Index,City,State,Population
5311,"1,028",Saint Clair Shores, MI,"59,865"
5312,"1,028",Cedar Key, FL,691
5313,"1,027",Nesquehoning, PA,"3,321"
5314,"1,027",Holton, KS,"3,298"
5315,"1,027",Bound Brook, NJ,"10,607"
5316,"1,027",Pacific Grove, CA,"15,365"
5317,"1,026",Arroyo Grande, CA,"17,536"
5318,"1,026",Brighton, AL,"2,918"
5319,"1,026",Monaca, PA,"5,721"
5320,"1,026",Unalaska, AK,"4,536"
5321,"1,026",Hooksett, NH,"4,112"
5322,"1,026",Boothbay Harbor, ME,881
5323,"1,026",Braintree, MA,"34,466"
5324,"1,026",Algona, WA,"3,090"
5325,"1,026",Burns, TN,"1,534"
5326,"1,025",Marlborough, MA,"39,141"
5327,"1,025",Osseo, WI,"1,690"
5328,"1,025",Paradise Valley, AZ,"13,243"
5329,"1,025",Del Rio, TX,"36,081"
5330,"1,025",Chattahoochee Hills, GA,"2,511"
5331,"1,025",Kilmarnock, VA,"1,513"
5332,"1,024",Pottsboro, TX,"2,360"
5333,"1,024",Phoenixville, PA,"16,530"
5334,"1,024",Olney, TX,"3,242"
5335,"1,024",Clarksville, TX,"3,220"
5336,"1,024",South Coatesville, PA,"1,581"
5337,"1,024",Maumelle, AR,"17,565"
5338,"1,024",Huntersville, NC,"49,279"
5339,"1,024",Shamrock, TX,"1,906"
5340,"1,024",Manitowoc, WI,"33,443"
5341,"1,024",Quogue, NY,888
5342,"1,023",Newcastle, WA,"10,792"
5343,"1,023",Menlo Park, CA,"32,792"
5344,"1,023",Northlake, IL,"12,368"
5345,"1,023",North Palm Beach, FL,"12,272"
5346,"1,022",Sulligent, AL,"1,884"
5347,"1,022",Donora, PA,"4,733"
5348,"1,022",Hickory Creek, TX,"3,605"
5349,"1,022",Shorewood, WI,"13,245"
5350,"1,022",Cerro Gordo, IL,"1,298"
5351,"1,022",Flemington, NJ,"4,688"
5352,"1,022",Mangum, OK,"2,947"
5353,"1,022",Manhattan Beach, CA,"35,534"
5354,"1,021",Palm Valley, TX,"1,628"
5355,"1,020",Livingston, MT,"7,086"
5356,"1,020",Thief River Falls, MN,"8,662"
5357,"1,020",Lilbourn, MO,"1,055"
5358,"1,020",Lake Jackson, TX,"27,224"
5359,"1,020",Roy, UT,"37,472"
5360,"1,020",Litchfield, MI,"1,257"
5361,"1,020",Shorewood Hills, WI,"1,783"
5362,"1,019",Brighton, NY,"36,870"
5363,"1,019",Scotts Valley, CA,"11,711"
5364,"1,019",De Beque, CO,377
5365,"1,019",Trafford, PA,"3,339"
5366,"1,019",Williston, VT,0
5367,"1,019",Valentine, NE,"2,763"
5368,"1,018",Roswell, GA,"92,364"
5369,"1,018",Hackensack, NJ,"43,903"
5370,"1,018",Lumber City, GA,894
5371,"1,018",Rison, AR,"1,432"
5372,"1,017",Lumberton, NJ,0
5373,"1,017",Middletown, PA,"8,909"
5374,"1,017",Huntington, IN,"17,284"
5375,"1,015",Millersville, TN,"6,481"
5376,"1,015",Stratford, NJ,"6,997"
5377,"1,015",Sabinal, TX,"1,703"
5378,"1,014",Hallowell, ME,"2,471"
5379,"1,014",Wellsville, OH,"3,493"
5380,"1,014",Glen Ridge, NJ,"7,606"
5381,"1,014",Munfordville, KY,"1,765"
5382,"1,014",Colebrook, NH,"1,404"
5383,"1,014",Union, NJ,"53,637"
5384,"1,013",Keiser, AR,595
5385,"1,013",San Dimas, CA,"33,896"
5386,"1,013",Avon By The Sea, NJ,"1,810"
5387,"1,013",Hamilton, MO,"1,776"
5388,"1,012",Buckley, WA,"4,430"
5389,"1,012",Penbrook, PA,"2,997"
5390,"1,012",Gray, GA,"3,276"
5391,"1,012",Sturbridge, MA,"2,265"
5392,"1,011",Lumberton, TX,"12,153"
5393,"1,011",Trinity, AL,"2,257"
5394,"1,011",Bluffton, IN,"9,621"
5395,"1,011",Coweta, OK,"9,483"
5396,"1,011",Menomonie, WI,0
5397,"1,011",Linton, IN,"5,368"
5398,"1,010",Hominy, OK,"3,548"
5399,"1,010",Lebanon, OH,"20,338"
5400,"1,010",Wetumka, OK,"1,231"
5401,"1,010",Goddard, KS,"4,583"
5402,"1,010",Le Roy, NY,"4,348"
5403,"1,010",Alva, OK,"4,990"
5404,"1,010",Batesville, IN,"6,397"
5405,"1,010",Montgomery, MN,"2,935"
