Rank,Crime Index,City,State,Population
1,"199,187",Vernon, CA,59
2,"126,554",Industry, CA,384
3,"77,686",Lakeside, CO,4
4,"45,187",Black Hawk, CO,130
5,"36,704",Teterboro, NJ,56
6,"34,984",Sauget, IL,318
7,"20,916",Fruitport, MI,"1,270"
8,"17,831",Mackinac Island, MI,600
9,"16,507",Ocean Beach, NY,59
10,"14,056",Mangonia Park, FL,"1,758"
11,"13,164",Dewey Beach, DE,254
12,"13,134",Brooklyn, IL,807
13,"12,990",Garden City, CO,223
14,"12,200",Medley, FL,940
15,"12,157",Sand City, CA,355
16,"11,623",Duck, NC,497
17,"10,488",East Saint Louis, IL,"26,697"
18,"10,358",South Padre Island, TX,"2,886"
19,"9,405",Mccook, IL,212
20,"8,896",South Tucson, AZ,"5,675"
21,"8,747",Ocean Isle Beach, NC,659
22,"8,492",Wellston, MO,"2,010"
23,"8,431",Atlantic Beach, SC,267
24,"8,156",Kinloch, MO,234
25,"8,130",Ocean City, MD,"7,093"
26,"7,920",Newington, NH,0
27,"7,817",West Buechel, KY,"1,245"
28,"7,794",Myrtle Beach, SC,"28,455"
29,"7,770",Cairo, IL,"2,688"
30,"7,753",Santee, SC,"1,004"
31,"7,576",Irwindale, CA,"1,530"
32,"7,485",Opa Locka, FL,"15,867"
33,"7,468",Mcintosh, AL,415
34,"7,429",Linndale, OH,190
35,"7,322",Florida City, FL,"11,853"
36,"7,188",Tukwila, WA,"19,573"
37,"7,145",Pineville, NC,"7,855"
38,"7,126",Brian Head, UT,50
39,"7,000",Lumberton, NC,"21,707"
40,"6,935",College Park, GA,"14,019"
41,"6,844",Balcones Heights, TX,"2,825"
42,"6,833",Anniston, AL,"22,749"
43,"6,807",Darby, PA,"10,689"
44,"6,770",Hammond, LA,"20,207"
45,"6,722",Logan, WV,"1,896"
46,"6,694",Bessemer, AL,"27,202"
47,"6,633",Hartsville, SC,"7,857"
48,"6,415",Dillon, SC,"6,731"
49,"6,413",Colma, CA,"1,837"
50,"6,292",Washington Park, IL,"4,120"
51,"6,252",West Memphis, AR,"25,767"
52,"6,188",Seven Springs, PA,16
53,"6,169",Saint Louis, MO,"318,727"
54,"6,159",East Ellijay, GA,997
55,"6,041",Emeryville, CA,"10,497"
56,"6,019",Wildwood, NJ,"5,255"
57,"6,011",Cocoa, FL,"17,261"
58,"6,008",Selma, AL,"20,276"
59,"5,970",Camden, NJ,"77,294"
60,"5,970",Zeigler, IL,"1,850"
61,"5,915",Randolph, MO,26
62,"5,889",Espanola, NM,"10,216"
63,"5,862",Taos Ski Valley, NM,91
64,"5,857",Morrow, GA,"6,837"
65,"5,846",Fairfield, AL,"11,039"
66,"5,830",Muskegon Heights, MI,"10,807"
67,"5,817",Amite, LA,0
68,"5,813",Lake Delton, WI,"2,936"
69,"5,789",Oakley, MI,168
70,"5,763",Sunset Valley, TX,697
71,"5,746",Flint, MI,"100,569"
72,"5,746",Whiteville, NC,"5,465"
73,"5,721",Branson, MO,"10,942"
74,"5,711",Detroit, MI,"695,437"
75,"5,693",Wilkeson, WA,461
76,"5,687",Chadbourn, NC,"2,141"
77,"5,663",Holden Beach, NC,880
78,"5,605",White Lake, NC,933
79,"5,600",Dillingham, AK,"2,255"
80,"5,576",Aynor, SC,748
81,"5,547",Hilltop, MN,828
82,"5,525",Homestead, PA,"3,157"
83,"5,509",Bastrop, LA,"11,075"
84,"5,432",Walterboro, SC,"5,339"
85,"5,420",Mullins, SC,"4,593"
86,"5,405",Hardeeville, SC,"3,914"
87,"5,389",Hiram, GA,"3,628"
88,"5,331",Highland Park, MI,"10,951"
89,"5,282",Tolleson, AZ,"6,707"
90,"5,254",Bald Head Island, NC,179
91,"5,254",Gallup, NM,"22,189"
92,"5,234",Henderson, NC,"15,325"
93,"5,229",Red Springs, NC,"3,445"
94,"5,225",Belle Glade, FL,"17,785"
95,"5,217",Birmingham, AL,"211,705"
96,"5,217",Berry Hill, TN,559
97,"5,200",Pine Bluff, AR,"47,058"
98,"5,197",Waterville Valley, NH,0
99,"5,193",Saginaw, MI,"50,700"
100,"5,181",Pigeon Forge, TN,"6,004"
101,"5,177",Helen, GA,269
102,"5,176",Brunswick, GA,"15,648"
103,"5,163",Douglas, AL,990
104,"5,148",Atlantic City, NJ,"39,521"
105,"5,134",Helena-West Helena, AR,"11,795"
106,"5,071",Memphis, TN,"656,715"
107,"5,053",Oakland, CA,"402,339"
108,"5,049",Pembroke, NC,"3,005"
109,"5,034",Eatonville, FL,"2,258"
110,"5,024",Chester, PA,"34,007"
111,"5,023",Bellmead, TX,"10,052"
112,"5,019",Rehoboth Beach, DE,"1,082"
113,"5,010",Little Rock, AR,"196,188"
114,"5,008",Harvey, IL,"25,225"
115,"4,993",Atlantic Beach, NC,"1,618"
116,"4,993",Fairmont, NC,"2,699"
117,"4,984",Blytheville, AR,"15,251"
118,"4,982",Alexandria, LA,"47,983"
119,"4,976",Spartanburg, SC,"37,216"
120,"4,951",Marion, SC,"6,833"
121,"4,899",Madison, IL,"4,061"
122,"4,887",Summerton, SC,"1,029"
123,"4,860",East Point, GA,"35,070"
124,"4,858",Asbury Park, NJ,"15,933"
125,"4,844",Summerdale, AL,"1,076"
126,"4,839",Opelousas, LA,"16,668"
127,"4,831",Lake City, SC,"6,720"
128,"4,807",Cleveland, OH,"392,114"
129,"4,795",Union City, GA,"20,200"
130,"4,786",Belen, NM,"7,249"
131,"4,786",Humble, TX,"15,402"
132,"4,779",Rich Square, NC,"1,013"
133,"4,779",Darlington, SC,"6,232"
134,"4,750",Itta Bena, MS,"2,159"
135,"4,749",East Pittsburgh, PA,"1,910"
136,"4,745",Lancaster, SC,"8,801"
137,"4,744",Lanett, AL,"6,455"
138,"4,713",Timmonsville, SC,"2,251"
139,"4,701",Fairfax, OH,"1,666"
140,"4,698",Riviera Beach, FL,"33,123"
141,"4,683",Salisbury, MD,"31,334"
142,"4,670",Wisconsin Dells, WI,"2,369"
143,"4,662",Jennings, MO,"14,730"
144,"4,659",Lithonia, GA,"1,975"
145,"4,626",Forkland, AL,757
146,"4,617",Douglas, GA,"11,738"
147,"4,614",Miami Beach, FL,"90,669"
148,"4,607",Madison, FL,"2,976"
149,"4,606",South Salt Lake, UT,"24,315"
150,"4,603",Irvington, NJ,"56,715"
151,"4,599",Clinton, OH,"1,149"
152,"4,591",Hot Springs, AR,"35,486"
153,"4,581",Florence, SC,"37,512"
154,"4,559",Cameron, NC,356
155,"4,543",Pageland, SC,"2,739"
156,"4,542",Wadesboro, NC,"5,711"
157,"4,537",Bunnell, FL,"2,715"
158,"4,520",Lake Park, FL,"8,317"
159,"4,519",Portsmouth, OH,"20,320"
160,"4,509",West Helena, AR,"8,689"
161,"4,501",Lake City, FL,"12,059"
162,"4,490",Seaside Heights, NJ,"2,899"
163,"4,477",Williamston, NC,"5,410"
164,"4,475",Avalon, NJ,"1,852"
165,"4,474",Harper Woods, MI,"14,058"
166,"4,462",Ripley, TN,"8,350"
167,"4,458",North Little Rock, AR,"64,731"
168,"4,457",Union Gap, WA,"6,061"
169,"4,442",Brooklawn, NJ,"1,879"
170,"4,441",Wilmington, DE,"71,263"
171,"4,414",Orlando, FL,"250,224"
172,"4,413",Harrisburg, PA,"49,297"
173,"4,409",Quitman, GA,"3,808"
174,"4,409",Monroe, LA,"49,455"
175,"4,399",Tarrant, AL,"6,331"
176,"4,398",Prichard, AL,"22,475"
177,"4,397",Elkton, MD,"15,673"
178,"4,394",Berkeley, MO,"9,120"
179,"4,387",Fort Pierce, FL,"42,744"
180,"4,383",Lake Worth, FL,"35,903"
181,"4,381",Bayou La Batre, AL,"2,661"
182,"4,379",Atlanta, GA,"440,641"
183,"4,373",Daytona Beach, FL,"61,913"
184,"4,372",Jackson, MS,"173,631"
185,"4,360",Crossville, TN,"11,125"
186,"4,359",Lake Worth, TX,"4,671"
187,"4,357",Pontiac, MI,"59,658"
188,"4,357",Athens, TN,"13,603"
189,"4,356",Palatka, FL,"10,464"
190,"4,349",Oceana, WV,"1,452"
191,"4,348",Shelton, WA,"9,798"
192,"4,341",Shallotte, NC,"3,639"
193,"4,340",Bladensburg, MD,"9,371"
194,"4,338",Scotland Neck, NC,"1,711"
195,"4,337",Latta, SC,"1,237"
196,"4,337",Mount Oliver, PA,"3,400"
197,"4,336",Duquesne, PA,"5,558"
198,"4,332",Chiefland, FL,"2,301"
199,"4,328",Maggie Valley, NC,"1,411"
200,"4,321",Blue Lake, CA,"1,258"
201,"4,311",Eddystone, PA,"2,572"
202,"4,306",Clover, SC,"5,321"
203,"4,305",Taos, NM,"5,713"
204,"4,295",Benton Harbor, MI,"10,056"
205,"4,294",Mulberry, FL,"3,864"
206,"4,283",Rockingham, NC,"9,444"
207,"4,282",Moraine, OH,"6,333"
208,"4,280",Newport, TN,"6,890"
209,"4,279",Enfield, NC,"2,282"
210,"4,275",North Myrtle Beach, SC,"14,485"
211,"4,274",Greenwood, SC,"23,296"
212,"4,270",West City, IL,702
213,"4,256",Osceola, AR,"7,535"
214,"4,247",Woodland, NC,911
215,"4,244",Whitehall, OH,"18,383"
216,"4,244",Nags Head, NC,"2,798"
217,"4,238",Gatlinburg, TN,"4,059"
218,"4,228",Manning, SC,"4,075"
219,"4,221",Commerce, CA,"12,975"
220,"4,217",Macon, GA,"91,351"
221,"4,214",New Boston, OH,"2,255"
222,"4,214",Kingstree, SC,"3,254"
223,"4,207",Bethany Beach, DE,890
224,"4,203",Cincinnati, OH,"297,117"
225,"4,203",Saint Robert, MO,"4,882"
226,"4,194",Cleveland, TX,"7,684"
227,"4,194",Ponchatoula, LA,"6,751"
228,"4,191",Bogalusa, LA,"12,071"
229,"4,186",Desert Hot Springs, CA,"27,678"
230,"4,186",Tuskegee, AL,"9,435"
231,"4,186",Baltimore, MD,"622,271"
232,"4,185",Bel Ridge, MO,"2,715"
233,"4,184",Burlington, WA,"8,466"
234,"4,174",Elberta, AL,"1,470"
235,"4,169",Oxford, NC,"8,585"
236,"4,163",Wamac, IL,"1,440"
237,"4,163",Lake City, GA,"2,631"
238,"4,155",Hemingway, SC,516
239,"4,152",Kansas City, MO,"465,005"
240,"4,150",Georgetown, SC,"9,110"
241,"4,148",Hamtramck, MI,"22,256"
242,"4,143",Arlington, GA,"1,200"
243,"4,117",Denham Springs, LA,"10,148"
244,"4,101",Glendale, CO,"4,564"
245,"4,098",Chester, SC,"5,543"
246,"4,097",Kinston, NC,"21,589"
247,"4,091",Hodgkins, IL,"2,185"
248,"4,091",Cordele, GA,"11,177"
249,"4,090",Dunn, NC,"9,570"
250,"4,089",Hillsdale, MO,"1,337"
251,"4,086",Dyersburg, TN,"16,998"
252,"4,085",Springfield, MO,"162,333"
253,"4,073",Pembroke Park, FL,"6,220"
254,"4,073",Youngstown, OH,"66,013"
255,"4,069",Dayton, OH,"141,776"
256,"4,060",Monroeville, AL,"6,343"
257,"4,059",Americus, GA,"16,557"
258,"4,055",Moss Point, MS,"13,690"
259,"4,055",Lima, OH,"38,432"
260,"4,053",Bryson City, NC,"1,585"
261,"4,047",Elberton, GA,"4,494"
262,"4,034",Oroville, CA,"16,015"
263,"4,024",Gadsden, AL,"36,621"
264,"4,023",Springfield, OH,"60,216"
265,"4,012",Raymondville, TX,"11,226"
266,"4,006",Homestead, FL,"63,459"
267,"4,005",Gary, IN,"79,165"
268,"4,001",Wilkesboro, NC,"3,559"
269,"4,001",Huntington, WV,"49,053"
270,"4,000",Loxley, AL,"2,170"
271,"4,000",Eutawville, SC,446
272,"3,998",Inkster, MI,"25,056"
273,"3,996",West Point, GA,"3,402"
274,"3,996",Buffalo, NY,"259,959"
275,"3,985",North Charleston, SC,"102,143"
276,"3,974",Rocky Mount, NC,"57,071"
277,"3,973",Fremont, NC,"1,271"
278,"3,963",Sylva, NC,"2,581"
279,"3,962",Mount Olive, NC,"4,693"
280,"3,953",Flordell Hills, MO,839
281,"3,949",Canton, OH,"72,668"
282,"3,947",Stockton, CA,"297,223"
283,"3,942",Kenly, NC,"1,563"
284,"3,941",Laurel, DE,"3,842"
285,"3,925",Texarkana, TX,"36,999"
286,"3,910",Danville, IL,"32,483"
287,"3,908",Marksville, LA,"5,635"
288,"3,908",Holbrook, AZ,"5,003"
289,"3,907",Forrest City, AR,"15,122"
290,"3,894",Eastman, GA,"5,442"
291,"3,889",East Chicago, IN,"29,387"
292,"3,888",Estill, SC,"2,357"
293,"3,878",West Union, SC,321
294,"3,877",Edisto Beach, SC,592
295,"3,877",Bennettsville, SC,"8,928"
296,"3,875",Allendale, SC,"3,328"
297,"3,869",Benson, NC,"3,435"
298,"3,868",Indianapolis, IN,"835,097"
299,"3,867",Tacoma, WA,"201,794"
300,"3,866",Chattanooga, TN,"171,863"
301,"3,850",Pine Valley, NJ,2
302,"3,842",Laurens, SC,"9,136"
303,"3,838",Brownsville, TN,"10,079"
304,"3,836",Council Bluffs, IA,"62,261"
305,"3,832",Garden City, GA,"8,924"
306,"3,831",Clarksdale, MS,"17,497"
307,"3,830",La Follette, TN,0
308,"3,818",Fife, WA,"9,346"
309,"3,813",Riverview, MO,"2,854"
310,"3,808",West Milwaukee, WI,"4,214"
311,"3,808",Swainsboro, GA,"7,431"
312,"3,807",Longview, NC,"4,966"
313,"3,805",Milford, DE,"9,882"
314,"3,804",Fisher, LA,186
315,"3,801",New Haven, CT,"130,553"
316,"3,797",Baton Rouge, LA,"229,353"
317,"3,796",Mckees Rocks, PA,"6,088"
318,"3,792",Barnwell, SC,"4,717"
319,"3,786",Jackson, TN,"67,190"
320,"3,783",Minneapolis, MN,"394,424"
321,"3,779",Weldon, NC,"1,644"
322,"3,778",Sauk Village, IL,"10,545"
323,"3,778",Riverdale, IL,"13,278"
324,"3,777",Mount Vernon, IL,"15,069"
325,"3,777",Rockford, IL,"151,290"
326,"3,777",Holland, OH,"1,895"
327,"3,773",Maxton, NC,"2,431"
328,"3,772",Moultrie, GA,"14,467"
329,"3,769",Richmond, CA,"106,469"
330,"3,769",Honea Path, SC,"3,610"
331,"3,766",Selma, NC,"6,172"
332,"3,763",Pawleys Island, SC,84
333,"3,762",Tulsa, OK,"395,599"
334,"3,759",Homerville, GA,"2,573"
335,"3,758",Port Richey, FL,"2,685"
336,"3,757",Shorter, AL,497
337,"3,757",Milwaukee, WI,"598,078"
338,"3,756",Port Aransas, TX,"3,677"
339,"3,753",Beckley, WV,"17,529"
340,"3,747",West Columbia, SC,"15,623"
341,"3,746",Chillicothe, OH,"21,802"
342,"3,743",Pine Lawn, MO,"3,335"
343,"3,733",Vicksburg, MS,"23,559"
344,"3,732",Talladega, AL,"16,034"
345,"3,732",Bunkie, LA,"4,127"
346,"3,728",Conway, SC,"18,645"
347,"3,727",Perry, FL,"7,040"
348,"3,725",Sikeston, MO,"16,642"
349,"3,725",Camden, SC,"6,931"
350,"3,723",Panama City Beach, FL,"11,884"
351,"3,723",Hapeville, GA,"6,611"
352,"3,713",Magnolia, OH,"1,079"
353,"3,710",Tifton, GA,"16,589"
354,"3,709",Woodstock, AL,"1,785"
355,"3,708",Mansfield, LA,"5,012"
356,"3,706",Salt Lake City, UT,"189,267"
357,"3,700",Salem, NJ,"5,045"
358,"3,696",Crystal River, FL,"3,072"
359,"3,693",Edmundson, MO,951
360,"3,688",Santa Fe Springs, CA,"16,859"
361,"3,686",North Miami, FL,"60,756"
362,"3,685",Columbus, OH,"811,943"
363,"3,685",York, PA,"43,817"
364,"3,684",Statesville, NC,"25,132"
365,"3,683",Trumann, AR,"7,222"
366,"3,681",Murphy, NC,"2,100"
367,"3,676",Saint Petersburg, FL,"248,429"
368,"3,675",Hartford, CT,"125,211"
369,"3,673",Gallipolis, OH,"3,325"
370,"3,671",Chamblee, GA,"15,835"
371,"3,667",Ecorse, MI,"9,401"
372,"3,663",Cumberland Gap, TN,410
373,"3,663",Uniontown, AL,"2,982"
374,"3,659",Laurinburg, NC,"15,799"
375,"3,658",Knoxville, TN,"181,759"
376,"3,652",Palmetto, FL,"12,856"
377,"3,649",Biscoe, NC,"1,753"
378,"3,644",Cedar Bluff, AL,"1,872"
379,"3,644",Robersonville, NC,"1,351"
380,"3,642",Bladenboro, NC,"1,938"
381,"3,636",Miami Gardens, FL,"110,867"
382,"3,632",Newburgh, NY,"28,614"
383,"3,625",Charleston, MS,"1,801"
384,"3,623",Kentwood, LA,"2,181"
385,"3,623",Hamilton, OH,"62,366"
386,"3,622",Rossville, GA,"4,066"
387,"3,621",Springfield, MA,"153,836"
388,"3,620",Anderson, SC,"26,798"
389,"3,619",Blacksburg, SC,"1,823"
390,"3,617",Ardmore, OK,"24,877"
391,"3,615",Hayden, AZ,612
392,"3,612",Beaufort, SC,"12,702"
393,"3,611",Sea Isle City, NJ,"1,824"
394,"3,610",Miami, FL,"416,432"
395,"3,608",Kotzebue, AK,"3,273"
396,"3,607",Washington, DC,"633,736"
397,"3,603",Joplin, MO,"50,900"
398,"3,598",Middletown, OH,"48,256"
399,"3,596",Winnsboro, SC,"3,456"
400,"3,593",Georgetown, DE,"6,650"
401,"3,593",Guntersville, AL,"8,316"
402,"3,576",Midfield, AL,"5,319"
403,"3,575",Veneta, OR,"4,633"
404,"3,573",Hyattsville, MD,"18,049"
405,"3,571",Coalton, OH,604
406,"3,568",Rochester, NY,"210,461"
407,"3,566",Ahoskie, NC,"5,017"
408,"3,563",Fayetteville, NC,"202,421"
409,"3,563",Branson West, MO,655
410,"3,563",Savannah, TN,"7,029"
411,"3,552",Toledo, OH,"283,932"
412,"3,550",Bishopville, SC,"3,372"
413,"3,548",Sumiton, AL,"2,544"
414,"3,548",Hope, AR,"10,033"
415,"3,547",Pilot Mountain, NC,"1,752"
416,"3,542",Sumter, SC,"40,819"
417,"3,541",Buena Vista, MI,"6,302"
418,"3,540",Vidalia, GA,"10,596"
419,"3,539",Charleston, WV,"50,911"
420,"3,538",New Orleans, LA,"368,471"
421,"3,536",Albany, GA,"76,946"
422,"3,531",Natchitoches, LA,"18,460"
423,"3,527",Sonora, CA,"4,844"
424,"3,526",Texarkana, AR,"30,015"
425,"3,524",Taylorsville, NC,"2,062"
426,"3,517",Jasper, AL,"14,247"
427,"3,517",Orange Cove, CA,"9,473"
428,"3,512",Indianola, MS,"10,426"
429,"3,503",Plymouth, NC,"3,782"
430,"3,502",Springfield, IL,"116,815"
431,"3,502",Moses Lake, WA,"21,141"
432,"3,502",Goldsboro, NC,"35,908"
433,"3,498",El Dorado, AR,"18,590"
434,"3,496",Trinidad, CA,236
435,"3,489",Niagara Falls, NY,"49,679"
436,"3,488",Pagedale, MO,"3,313"
437,"3,487",Mount Vernon, AL,"1,435"
438,"3,485",Battle Creek, MI,"51,963"
439,"3,485",Swansea, SC,708
440,"3,483",Salisbury, NC,"33,524"
441,"3,483",Chelsea, MA,"37,084"
442,"3,481",Fort Valley, GA,"9,448"
443,"3,477",Fort Myers, FL,"66,167"
444,"3,475",Key West, FL,"25,187"
445,"3,473",Compton, CA,"97,663"
446,"3,470",Newport, KY,"15,467"
447,"3,469",Holyoke, MA,"40,079"
448,"3,468",Tabor City, NC,"3,970"
449,"3,467",Greenwood, MS,"15,873"
450,"3,463",Fort Lawn, SC,818
451,"3,460",Petersburg, VA,"32,439"
452,"3,458",West Palm Beach, FL,"102,283"
453,"3,456",Breckenridge, CO,"4,604"
454,"3,452",Quincy, FL,"8,022"
455,"3,446",Oklahoma City, OK,"600,729"
456,"3,445",Philadelphia, PA,"1,546,920"
457,"3,443",Balch Springs, TX,"24,693"
458,"3,441",Mckeesport, PA,"19,663"
459,"3,438",Muskegon, MI,"37,822"
460,"3,438",Upland, PA,"3,248"
461,"3,433",Hamlet, NC,"6,566"
462,"3,429",Princeton, WV,"6,387"
463,"3,427",Alice, TX,"19,358"
464,"3,425",Drew, MS,"1,869"
465,"3,425",Lake Village, AR,"2,724"
466,"3,424",Nashville, TN,0
467,"3,422",Ponderay, ID,"1,143"
468,"3,422",Trenton, NJ,"84,459"
469,"3,419",Seaford, DE,"7,163"
470,"3,419",Houston, TX,"2,167,988"
471,"3,417",Oglethorpe, GA,"1,468"
472,"3,412",Smithfield, NC,"11,357"
473,"3,407",Wapato, WA,"5,043"
474,"3,406",Newport, AR,"7,817"
475,"3,399",Kansas City, KS,"147,598"
476,"3,398",Stone Harbor, NJ,775
477,"3,394",Princess Anne, MD,"3,337"
478,"3,393",Beaumont, TX,"117,543"
479,"3,393",Jackson, MI,"33,317"
480,"3,393",San Pablo, CA,"29,516"
481,"3,386",Bridgeton, NJ,"25,252"
482,"3,383",Raeford, NC,"4,783"
483,"3,379",Lauderdale Lakes, FL,"33,710"
484,"3,377",Cripple Creek, CO,"1,427"
485,"3,377",Sarasota, FL,"52,986"
486,"3,377",Page, AZ,"7,374"
487,"3,372",Eunice, LA,"10,325"
488,"3,370",Alcoa, TN,"8,556"
489,"3,369",Gastonia, NC,"72,664"
490,"3,369",Dallas, TX,"1,240,985"
491,"3,363",Alma, GA,"3,514"
492,"3,362",Decatur, MI,"2,095"
493,"3,361",Everett, WA,"104,708"
494,"3,361",Seatac, WA,"27,606"
495,"3,361",Calumet Park, IL,"8,189"
496,"3,356",Tallassee, AL,"5,011"
497,"3,356",Marion, NC,"7,948"
498,"3,355",South Bend, IN,"100,422"
499,"3,353",Grand Coulee, WA,999
500,"3,351",San Bernardino, CA,"213,044"
501,"3,347",Jacksboro, TN,"1,917"
502,"3,344",Spokane, WA,"210,142"
503,"3,340",Cherry Valley, IL,"2,884"
504,"3,339",Leesburg, FL,"20,915"
505,"3,338",Columbia, SC,"131,331"
506,"3,336",Bernalillo, NM,"8,400"
507,"3,336",North Kansas City, MO,"4,280"
508,"3,335",Brewton, AL,"5,426"
509,"3,332",Forest City, NC,"7,387"
510,"3,332",Webster, TX,"10,898"
511,"3,326",Silver City, NM,"10,245"
512,"3,324",Surf City, NC,"2,498"
513,"3,324",Humboldt, TN,"8,363"
514,"3,322",Springfield, TN,"16,598"
515,"3,320",Toppenish, WA,"9,007"
516,"3,319",Rowland, NC,"1,204"
517,"3,314",Dundee, FL,"3,833"
518,"3,314",Newark, NJ,"278,750"
519,"3,313",Madison, NC,"2,240"
520,"3,312",Eureka, CA,"27,039"
521,"3,312",Wrightsville Beach, NC,"2,525"
522,"3,306",Great Falls, SC,"1,627"
523,"3,305",Granville, WV,"1,628"
524,"3,305",Griffin, GA,"23,425"
525,"3,301",Cocoa Beach, FL,"11,287"
526,"3,297",Vallejo, CA,"118,078"
527,"3,297",Andrews, SC,"2,839"
528,"3,296",Ypsilanti, MI,"19,844"
529,"3,293",Lake Charles, LA,"73,503"
530,"3,291",Reading, PA,"88,051"
531,"3,289",Arab, AL,"8,241"
532,"3,288",Akron, OH,"198,492"
533,"3,287",Coffeyville, KS,"10,034"
534,"3,286",Orange City, FL,"10,968"
535,"3,283",Lexington, TN,"7,771"
536,"3,282",Lawton, OK,"97,788"
537,"3,281",Yakima, WA,"92,806"
538,"3,281",Denmark, SC,"3,467"
539,"3,280",Poplar Bluff, MO,"17,190"
540,"3,280",Randleman, NC,"4,143"
541,"3,277",Conyers, GA,"15,456"
542,"3,276",De Funiak Springs, FL,"5,410"
543,"3,275",Kelso, WA,"11,837"
544,"3,273",Kalamazoo, MI,"75,190"
545,"3,269",Orange, NJ,"31,165"
546,"3,263",Cool Valley, MO,"1,133"
547,"3,263",Columbus, GA,"198,247"
548,"3,263",Pascagoula, MS,"22,239"
549,"3,262",Shenandoah, TX,"2,397"
550,"3,261",Bunn, NC,383
551,"3,260",Fort Lauderdale, FL,"171,137"
552,"3,257",Spencer, NC,"3,267"
553,"3,255",West Monroe, LA,"13,073"
554,"3,255",Panama City, FL,"36,405"
555,"3,254",Opelika, AL,"27,956"
556,"3,251",Ocala, FL,"56,918"
557,"3,248",Lawrenceburg, TN,"10,440"
558,"3,247",Oakland Park, FL,"42,795"
559,"3,243",Hickory, NC,"40,108"
560,"3,242",Cumberland, MD,"20,557"
561,"3,242",Burien, WA,"49,291"
562,"3,241",Cleveland, GA,"3,624"
563,"3,239",South Miami, FL,"12,036"
564,"3,237",Pompano Beach, FL,"103,234"
565,"3,235",Dublin, GA,"16,200"
566,"3,233",Newaygo, MI,"1,986"
567,"3,233",York, SC,"7,913"
568,"3,233",Galveston, TX,"48,513"
569,"3,233",Coolidge, AZ,"12,058"
570,"3,231",North Miami Beach, FL,"43,028"
571,"3,229",Sanford, FL,"55,296"
572,"3,228",Lockland, OH,"3,444"
573,"3,226",Schenectady, NY,"66,055"
574,"3,222",Union, SC,"8,191"
575,"3,222",Riverdale, GA,"15,496"
576,"3,219",Wilkinsburg, PA,"15,894"
577,"3,217",Crescent City, FL,"1,935"
578,"3,216",Covington, TN,"9,033"
579,"3,210",West Lebanon, PA,0
580,"3,210",Federalsburg, MD,"2,695"
581,"3,209",Greenville, MS,"33,518"
582,"3,208",Spring Lake, NC,"13,101"
583,"3,206",Waynesboro, GA,"5,820"
584,"3,204",Aransas Pass, TX,"8,287"
585,"3,202",Washington, NC,"9,768"
586,"3,201",Shreveport, LA,"200,692"
587,"3,200",Winston Salem, NC,"234,469"
588,"3,199",East Spencer, NC,"1,520"
589,"3,197",Calumet City, IL,"37,197"
590,"3,196",Corinth, MS,"14,797"
591,"3,195",Hayneville, AL,"1,113"
592,"3,194",Cambridge, MD,"12,511"
593,"3,193",Broxton, GA,"1,075"
594,"3,193",Tallahassee, FL,"185,395"
595,"3,192",Weslaco, TX,"36,752"
596,"3,190",Bridgeport, CT,"146,680"
597,"3,189",Mccoll, SC,"2,390"
598,"3,189",Clarksville, IN,"21,579"
599,"3,189",Varnell, GA,"1,766"
600,"3,188",Red Bluff, CA,"14,069"
601,"3,188",Laurel, MS,"18,720"
602,"3,186",Mosby, MO,223
603,"3,186",Hobbs, NM,"35,343"
604,"3,186",Adamsville, AL,"4,472"
605,"3,185",Gonzales, TX,"7,317"
606,"3,180",Albuquerque, NM,"553,576"
607,"3,179",Bolivar, TN,"5,275"
608,"3,178",Greenville, SC,"60,670"
609,"3,177",Rayville, LA,"3,745"
610,"3,176",Alamo, TX,"18,907"
611,"3,174",Fort Smith, AR,"87,193"
612,"3,173",Broken Bow, OK,"4,141"
613,"3,173",Meridian, MS,"40,809"
614,"3,172",Evendale, OH,"2,768"
615,"3,171",Centralia, IL,"12,880"
616,"3,170",Cayce, SC,"12,944"
617,"3,170",Miami, AZ,"1,979"
618,"3,170",Rochester, PA,"3,628"
619,"3,164",New Port Richey, FL,"15,063"
620,"3,157",Port Orchard, WA,"12,715"
621,"3,155",Clovis, NM,"39,204"
622,"3,153",Selinsgrove, PA,"5,698"
623,"3,153",Orange, TX,"18,810"
624,"3,148",Bartow, FL,"17,766"
625,"3,147",Kill Devil Hills, NC,"6,810"
626,"3,146",Doniphan, MO,"2,546"
627,"3,146",Plaquemine, LA,"7,055"
628,"3,143",Forest Park, GA,"18,783"
629,"3,142",Folly Beach, SC,"2,679"
630,"3,138",Roxboro, NC,"8,330"
631,"3,137",Huntsville, AL,"184,132"
632,"3,135",Pueblo, CO,"107,706"
633,"3,133",Hampton, SC,"2,740"
634,"3,131",Saint George, SC,"2,291"
635,"3,129",Barstow, CA,"23,110"
636,"3,125",Cheraw, SC,"5,809"
637,"3,124",Maywood, IL,"24,148"
638,"3,123",Lakewood, WA,"58,890"
639,"3,121",Dadeville, AL,"3,203"
640,"3,120",Hendersonville, NC,"13,350"
641,"3,113",Casa Grande, AZ,"50,316"
642,"3,112",Miner, MO,886
643,"3,111",Franklinton, LA,"3,809"
644,"3,110",Nevada, MO,"8,318"
645,"3,107",Covington, KY,"40,712"
646,"3,107",Ontario, OH,"6,160"
647,"3,106",Waycross, GA,"14,363"
648,"3,105",Holly Hill, FL,"11,680"
649,"3,104",Sparta, TN,"5,036"
