Rank,Population Growth Rate,City,State,Population
14771,2.61%,Ahuimanu, HI,"8,728"
14314,3.24%,Ahwahnee, CA,"2,165"
15296,1.80%,Aiea, HI,"9,181"
7585,18.32%,Aiken, SC,"29,980"
2910,51.02%,Ailey, GA,595
1355,90.84%,Ainaloa, HI,"3,645"
9588,12.40%,Ainsworth, IA,589
19157,-4.08%,Ainsworth, NE,"1,786"
25202,-19.67%,Air Force Academy, CO,"6,046"
9570,12.45%,Airmont, NY,"8,770"
18326,-2.70%,Airport, CA,"1,547"
4494,34.24%,Airport Drive, MO,835
93,578.57%,Airport Heights, TX,95
28356,-49.24%,Airport Road Addition, TX,67
3700,41.24%,Airway Heights, WA,"6,356"
7533,18.50%,Aitkin, MN,"2,351"
15013,2.21%,Ajo, AZ,"3,787"
24468,-16.67%,Ak Chin, AZ,25
1639,78.62%,Ak-Chin Village, AZ,"1,195"
9382,12.90%,Akaska, SD,35
21730,-8.74%,Akeley, MN,376
5290,28.75%,Akhiok, AK,103
15941,0.85%,Akiachak, AK,590
4833,31.72%,Akiak, AK,407
11995,7.13%,Akins, OK,481
6107,24.26%,Akron, IN,"1,337"
10020,11.40%,Akron, CO,"1,906"
18533,-3.04%,Akron, PA,"3,923"
21174,-7.62%,Akron, NY,"2,850"
21565,-8.39%,Akron, IA,"1,364"
21647,-8.56%,Akron, OH,"198,492"
23663,-13.88%,Akron, MI,397
27982,-42.03%,Akron, AL,302
6330,23.28%,Akutan, AK,879
4187,36.96%,Alabaster, AL,"30,978"
2810,52.36%,Alachua, FL,"9,291"
10278,10.79%,Alafaya, FL,"85,561"
9577,12.42%,Alakanuk, AK,733
633,153.55%,Alamance, NC,786
13304,4.85%,Alameda, CA,"75,763"
7139,20.00%,Alamillo, NM,162
704,141.95%,Alamo, GA,"4,701"
5389,28.10%,Alamo, TX,"18,907"
6736,21.57%,Alamo, ND,62
15659,1.30%,Alamo, TN,"2,423"
16432,0.08%,Alamo, CA,"15,639"
26326,-25.24%,Alamo, NV,939
27879,-40.24%,Alamo, NM,707
